nci60	ccle	cgp	gdsc	gdscDec15	ctrp	nciSclc	mdaMills
NA	NA	EW-7	EW-7	EW-7	NA	NA	NA
NA	NA	GA-10-Clone-20	NA	NA	NA	NA	NA
NA	NA	GA-10-Clone-4	GA-10-Clone-4	NA	NA	NA	NA
NA	NA	GAK	GAK	GAK	NA	NA	NA
NA	NA	GI-ME-N	GI-ME-N	GI-ME-N	NA	NA	NA
NA	NA	GOTO	GOTO	GOTO	NA	NA	NA
NA	NA	GOTO-P3	NA	NA	NA	NA	NA
NA	NA	Gp2D	NA	NA	NA	NA	NA
NA	NA	GP5d	GP5d	GP5d	NA	NA	GP5D
NA	NA	GR-ST	GR-ST	GR-ST	NA	NA	NA
NA	NA	GT3TKB	GT3TKB	GT3TKB	NA	NA	NA
NA	NA	H-EMC-SS	H-EMC-SS	H-EMC-SS	NA	NA	NA
NA	NA	H9	H9	H9	NA	NA	NA
NA	NA	HA7-RCC	HA7-RCC	HA7-RCC	NA	NA	NA
NA	NA	HAL-01	HAL-01	HAL-01	NA	NA	NA
NA	NA	HC-1	HC-1	HC-1	NA	NA	NA
NA	NA	HCE-4	HCE-4	HCE-4	NA	NA	NA
NA	NA	HCE-T	HCE-T	NA	NA	NA	NA
NA	NA	HeLaSF	HeLaSF	NA	NA	NA	NA
NA	NA	HMV-II	HMV-II	HMV-II	NA	NA	NA
NA	NA	HN	HN	HN	NA	NA	NA
NA	NA	HO-1-N-1	HO-1-N-1	HO-1-N-1	NA	NA	NA
NA	NA	HT-3	HT-3	HT-3	NA	NA	NA
NA	NA	HTC-C3	HTC-C3	HTC-C3	NA	NA	NA
NA	NA	HuO-3N1	HuO-3N1	HuO-3N1	NA	NA	NA
NA	NA	HuO9	HuO9	HuO9	NA	NA	NA
NA	NA	IM-9	IM-9	IM-9	NA	NA	NA
NA	NA	IMR-5	IMR-5	IMR-5	NA	NA	NA
NA	NA	IST-MEL1	IST-MEL1	IST-MEL1	NA	NA	NA
NA	NA	IST-SL1	IST-SL1	IST-SL1	NA	NA	NA
NA	NA	IST-SL2	IST-SL2	IST-SL2	NA	NA	NA
NA	NA	ITO-II	NA	NA	NA	NA	NA
NA	NA	J-RT3-T3-5	J-RT3-T3-5	J-RT3-T3-5	NA	NA	NA
NA	NA	JAR	JAR	JAR	NA	NA	NA
NA	NA	JEG-3	JEG-3	JEG-3	NA	NA	NA
NA	NA	JiyoyeP-2003	JiyoyeP-2003	JiyoyeP-2003	NA	NA	NA
NA	NA	K5	K5	K5	NA	NA	NA
NA	NA	KARPAS-45	KARPAS-45	KARPAS-45	NA	NA	NA
NA	NA	KGN	KGN	KGN	NA	NA	NA
NA	NA	KINGS-1	KINGS-1	KINGS-1	NA	NA	NA
NA	NA	KMOE-2	KMOE-2	KMOE-2	NA	NA	NA
NA	NA	KMS-12-PE	NA	NA	NA	NA	KMS12PE
NA	NA	KOSC-2	KOSC-2	KOSC-2	NA	NA	NA
NA	NA	KP-N-YS	NA	KP-N-YS	NA	NA	NA
NA	NA	KY821	KY821	KY821	NA	NA	NA
NA	NA	LAN-1	NA	NA	NA	NA	NA
NA	NA	LAN-5	NA	NA	NA	NA	NA
NA	NA	LAN-6	LAN-6	LAN-6	NA	NA	NA
NA	NA	LB1047-RCC	LB1047-RCC	LB1047-RCC	NA	NA	NA
NA	NA	LB2241-RCC	LB2241-RCC	LB2241-RCC	NA	NA	NA
NA	NA	LB2518-MEL	LB2518-MEL	LB2518-MEL	NA	NA	NA
NA	NA	LB373-MEL-D	LB373-MEL-D	LB373-MEL-D	NA	NA	NA
NA	NA	LB647-SCLC	LB647-SCLC	LB647-SCLC	NA	NA	NA
NA	NA	LB771-HNC	LB771-HNC	LB771-HNC	NA	NA	NA
NA	NA	LB831-BLC	LB831-BLC	LB831-BLC	NA	NA	NA
NA	NA	LB996-RCC	LB996-RCC	LB996-RCC	NA	NA	NA
NA	NA	LC4-1	LC4-1	LC4-1	NA	NA	NA
NA	NA	LN-405	LN-405	LN-405	NA	NA	NA
NA	NA	LS-174T	NA	NA	NA	NA	LS174T
NA	NA	LU-134-A	LU-134-A	LU-134-A	NA	NA	NA
NA	NA	LU-135	LU-135	LU-135	NA	NA	NA
NA	NA	LU-139	LU-139	LU-139	NA	NA	NA
NA	NA	M059J	M059J	M059J	NA	NA	NA
NA	NA	MC-1010	NA	MC-1010	NA	NA	NA
NA	NA	MC-IXC	NA	MC-IXC	NA	NA	NA
NA	NA	ME-180	ME-180	ME-180	NA	NA	NA
NA	NA	MFH-ino	MFH-ino	MFH-ino	NA	NA	NA
NA	NA	MFM-223	MFM-223	MFM-223	NA	NA	MFM223
NA	NA	MHH-PREB-1	MHH-PREB-1	MHH-PREB-1	NA	NA	MHHPREB1
NA	NA	MKN28	MKN28	MKN28	NA	NA	NA
NA	NA	ML-2	ML-2	ML-2	NA	NA	NA
NA	NA	MMAC-SF	MMAC-SF	MMAC-SF	NA	NA	NA
NA	NA	MN-60	MN-60	MN-60	NA	NA	MN60
NA	NA	MRK-nu-1	MRK-nu-1	MRK-nu-1	NA	NA	NA
NA	NA	MS-1	MS-1	MS-1	NA	NA	NA
NA	NA	MUTZ-1	NA	NA	NA	NA	NA
NA	NA	MZ2-MEL.	MZ2-MEL	MZ2-MEL	NA	NA	NA
NA	NA	MZ7-mel	MZ7-mel	MZ7-mel	NA	NA	NA
NA	NA	NB10	NB10	NB10	NA	NA	NA
NA	NA	NB12	NB12	NB12	NA	NA	NA
NA	NA	NB13	NB13	NB13	NA	NA	NA
NA	NA	NB14	NB14	NB14	NA	NA	NA
NA	NA	NB16	NA	NA	NA	NA	NA
NA	NA	NB17	NB17	NB17	NA	NA	NA
NA	NA	NB19	NA	NA	NA	NA	NA
NA	NA	NB5	NB5	NB5	NA	NA	NA
NA	NA	NB6	NB6	NB6	NA	NA	NA
NA	NA	NB69	NB69	NB69	NA	NA	NA
NA	NA	NB7	NB7	NB7	NA	NA	NA
NA	NA	NBsusSR	NBsusSR	NBsusSR	NA	NA	NA
NA	NA	NCCIT	NCCIT	NCCIT	NA	NA	NA
NA	NA	NCI-ADR-RES	NA	NA	NA	NA	NA
NA	NA	NCI-H1304	NCI-H1304	NCI-H1304	NA	NA	NA
NA	NA	NCI-H1522	NA	NCI-H1522	NA	NCI-H1522	NA
NA	NA	NCI-H157	NA	NA	NA	NA	NA
NA	NA	NCI-H1770	NCI-H1770	NCI-H1770	NA	NA	NA
NA	NA	NCI-H1993	NCI-H1993	NCI-H1993	NA	NA	NA
NA	NA	NCI-H2107	NA	NCI-H2107	NA	NCI-H2107	NA
NA	NA	NCI-H2330	NA	NA	NA	NCI-H2330	NA
NA	NA	NCI-H250	NCI-H250	NCI-H250	NA	NCI-H250	NA
NA	NA	NCI-H295	NA	NA	NA	NA	NA
NA	NA	NCI-H345	NCI-H345	NCI-H345	NA	NCI-H345	NA
NA	NA	NCI-H378	NCI-H378	NCI-H378	NA	NCI-H378	NA
NA	NA	NCI-H630	NCI-H630	NCI-H630	NA	NA	NA
NA	NA	NCI-H64	NCI-H64	NCI-H64	NA	NA	NA
NA	NA	NCI-N417	NA	NA	NA	NA	NA
NA	NA	NEC8	NEC8	NEC8	NA	NA	NA
NA	NA	NH-12	NH-12	NH-12	NA	NA	NA
NA	NA	NKM-1	NKM-1	NKM-1	NA	NA	NA
NA	NA	no-10	no-10	no-10	NA	NA	NA
NA	NA	no-11	no-11	no-11	NA	NA	NA
NA	NA	NOS-1	NOS-1	NOS-1	NA	NA	NA
NA	NA	NTERA-S-cl-D1	NTERA-S-cl-D1	NTERA-S-cl-D1	NA	NA	NA
NA	NA	NY	NY	NY	NA	NA	NA
NA	NA	OCUB-M	OCUB-M	OCUB-M	NA	NA	NA
NA	NA	OMC-1	NA	OMC-1	NA	NA	NA
NA	NA	P30-OHK	P30-OHK	P30-OHK	NA	NA	NA
NA	NA	PA-1	PA-1	PA-1	NA	NA	NA
NA	NA	PD1503a	NA	NA	NA	NA	NA
NA	NA	PFSK-1	PFSK-1	PFSK-1	NA	NA	NA
NA	NA	QIMR-WIL	QIMR-WIL	QIMR-WIL	NA	NA	NA
NA	NA	Ramos-2G6-4C10	Ramos-2G6-4C10	Ramos-2G6-4C10	NA	NA	NA
NA	NA	REH	REH	REH	NA	NA	NA
NA	NA	RERF-LC-FM	NA	NA	NA	NA	NA
NA	NA	RF-48	RF-48	RF-48	NA	NA	NA
NA	NA	RH-1	RH-1	RH-1	NA	NA	NA
NA	NA	RO82-W-1	RO82-W-1	RO82-W-1	NA	NA	NA
NA	NA	RPMI-2650	RPMI-2650	RPMI-2650	NA	NA	NA
NA	NA	RPMI-6666	RPMI-6666	RPMI-6666	NA	NA	NA
NA	NA	RPMI-8866	RPMI-8866	RPMI-8866	NA	NA	NA
NA	NA	RTSG	NA	NA	NA	NA	NA
NA	NA	SAS	SAS	SAS	NA	NA	NA
NA	NA	SBC-1	SBC-1	SBC-1	NA	NA	NA
NA	NA	SCC-3	SCC-3	SCC-3	NA	NA	SCC3
NA	NA	SCCH-26	NA	NA	NA	NA	NA
NA	NA	SCH	SCH	SCH	NA	NA	NA
NA	NA	SiHa	SiHa	SiHa	NA	NA	NA
NA	NA	SK-MG-1	SK-MG-1	SK-MG-1	NA	NA	NA
NA	NA	SK-NEP-1	SK-NEP-1	SK-NEP-1	NA	NA	SKNEP1
NA	NA	SKG-IIIa	SKG-IIIa	SKG-IIIa	NA	NA	NA
NA	NA	SNU-C2B	SNU-C2B	SNU-C2B	NA	NA	SNUC2B
NA	NA	SUP-B8	SUP-B8	SUP-B8	NA	NA	NA
NA	NA	SW13	SW13	SW13	NA	NA	NA
NA	NA	SW626	SW626	SW626	NA	NA	SW626
NA	NA	SW684	SW684	SW684	NA	NA	NA
NA	NA	SW872	SW872	SW872	NA	NA	SW872
NA	NA	SW954	SW954	SW954	NA	NA	NA
NA	NA	SW962	SW962	SW962	NA	NA	NA
NA	NA	SW982	SW982	SW982	NA	NA	SW982
NA	NA	TC-YIK	TC-YIK	TC-YIK	NA	NA	NA
NA	NA	TCO-1	NA	NA	NA	NA	NA
NA	NA	TE-12	TE-12	TE-12	NA	NA	NA
NA	NA	TE-161-T	NA	NA	NA	NA	NA
NA	NA	TGBC1TKB	TGBC1TKB	TGBC1TKB	NA	NA	NA
NA	NA	TGBC24TKB	TGBC24TKB	TGBC24TKB	NA	NA	NA
NA	NA	TGW	TGW	TGW	NA	NA	NA
NA	NA	TUR	TUR	TUR	NA	NA	NA
NA	NA	U-698-M	U-698-M	U-698-M	NA	NA	U698M
NA	NA	UMC-11	UMC-11	UMC-11	NA	NA	NA
NA	NA	VA-ES-BJ	VA-ES-BJ	VA-ES-BJ	NA	NA	VAESBJ
NA	NA	VMRC-MELG	NA	VMRC-MELG	NA	NA	NA
NA	NA	WERI-Rb-1	NA	NA	NA	NA	NA
NA	NA	WSU-NHL	WSU-NHL	WSU-NHL	NA	NA	WSUNHL
NA	NA	NA	H2869	H2869	NA	NA	NA
NA	NA	NA	H290	H290	NA	NA	H290
NA	NA	NA	H2803	H2803	NA	NA	NA
NA	NA	NA	H2722	H2722	NA	NA	NA
NA	NA	NA	H2810	H2810	NA	NA	NA
NA	NA	NA	H2373	H2373	NA	NA	NA
NA	NA	NA	H2731	H2731	NA	NA	NA
NA	NA	NA	HeLa	HeLa	NA	NA	HELA
NA	NA	NA	H2818	H2818	NA	NA	NA
NA	NA	NA	SISO	SISO	NA	NA	NA
NA	NA	NA	ESO51	ESO51	NA	NA	NA
NA	NA	NA	H2591	H2591	NA	NA	NA
NA	NA	NA	H513	H513	NA	NA	NA
NA	NA	NA	H2461	H2461	NA	NA	NA
NA	NA	NA	H2795	H2795	NA	NA	NA
NA	NA	NA	H2369	H2369	NA	NA	NA
NA	NA	NA	H2595	H2595	NA	NA	NA
NA	NA	NA	H2804	H2804	NA	NA	NA
NA	NA	NA	PCI-6A	PCI-6A	NA	NA	NA
NA	NA	NA	RCC-JW	RCC-JW	NA	NA	RCCJW
NA	NA	NA	RC-K8	RC-K8	NA	NA	RCK8
NA	NA	NA	OSC-19	OSC-19	NA	NA	OSC19
NA	NA	NA	RCC-AB	RCC-AB	NA	NA	NA
NA	NA	NA	OVMIU	OVMIU	NA	NA	NA
NA	NA	NA	PL18	PL18	NA	NA	NA
NA	NA	NA	OSC-20	OSC-20	NA	NA	NA
NA	NA	NA	PCI-30	PCI-30	NA	NA	NA
NA	NA	NA	P32-ISH	P32-ISH	NA	NA	NA
NA	NA	NA	RCC-MF	RCC-MF	NA	NA	RCCMF
NA	NA	NA	PCI-15A	PCI-15A	NA	NA	PCI15A
NA	NA	NA	NCI-H1688	NCI-H1688	NA	NCI-H1688	NA
NA	NA	NA	PCI-38	PCI-38	NA	NA	NA
NA	NA	NA	OE21	OE21	NA	NA	NA
NA	NA	NA	NCI-H187	NCI-H187	NA	NCI-H187	NA
NA	NA	NA	KARPAS-231	KARPAS-231	NA	NA	KARPAS231
NA	NA	NA	LC-2-ad	LC-2-ad	NA	NA	NA
NA	NA	NA	LNZTA3WT4	LNZTA3WT4	NA	NA	NA
NA	NA	NA	G-MEL	G-MEL	NA	NA	NA
NA	NA	NA	LU-165	LU-165	NA	NA	NA
NA	NA	NA	Mo-T	Mo-T	NA	NA	NA
NA	NA	NA	MS751	MS751	NA	NA	NA
NA	NA	NA	WM1552C	WM1552C	NA	NA	NA
NA	NA	NA	WM793B	WM793B	NA	NA	NA
NA	NA	NA	SLVL	SLVL	NA	NA	NA
NA	NA	NA	MZ1-PC	MZ1-PC	NA	NA	NA
NA	NA	NA	WM278	WM278	NA	NA	NA
NA	NA	NA	VAL	VAL	NA	NA	VAL
NA	NA	NA	WM35	WM35	NA	NA	NA
NA	NA	NA	WIL2-NS	WIL2-NS	NA	NA	NA
NA	NA	NA	201T	201T	NA	NA	NA
NA	NA	NA	BE2-M17	BE2-M17	NA	NA	NA
NA	NA	NA	ES4	ES4	NA	NA	NA
NA	NA	NA	A388	A388	NA	NA	NA
NA	NA	NA	BICR78	BICR78	NA	NA	NA
NA	NA	NA	KON	KON	NA	NA	NA
NA	NA	NA	JSC-1	JSC-1	NA	NA	NA
NA	NA	NA	KP-1N	KP-1N	NA	NA	NA
NA	NA	NA	SKN	SKN	NA	NA	NA
NA	NA	NA	SK-PN-DW	SK-PN-DW	NA	NA	NA
NA	NA	NA	SAT	SAT	NA	NA	NA
NA	NA	NA	SKN-3	SKN-3	NA	NA	NA
NA	NA	NA	IHH-4	IHH-4	NA	NA	NA
NA	NA	NA	JHU-011	JHU-011	NA	NA	JHU011
NA	NA	NA	SBC-3	SBC-3	NA	NA	NA
NA	NA	NA	KYSE-50	KYSE-50	NA	NA	NA
NA	NA	NA	JHU-022	JHU-022	NA	NA	JHU022
NA	NA	NA	I-9-2	NA	NA	NA	NA
NA	NA	NA	ASH-3	ASH-3	NA	NA	NA
NA	NA	NA	Hs-633T	Hs-633T	NA	NA	NA
NA	NA	NA	451Lu	451Lu	NA	NA	NA
NA	NA	NA	EMC-BAC-2	EMC-BAC-2	NA	NA	NA
NA	NA	NA	H3255	H3255	NA	NA	NA
NA	NA	NA	EMC-BAC-1	EMC-BAC-1	NA	NA	NA
NA	NA	NA	H3118	H3118	NA	NA	NA
NA	NA	NA	ESO26	ESO26	NA	NA	NA
NA	NA	NA	NCI-H740	NA	NA	NA	NA
NA	NA	NA	OACM5-1	OACM5-1	NA	NA	NA
NA	NA	NA	NCI-H3122	NCI-H3122	NA	NA	NA
NA	NA	NA	NCC021	NCC021	NA	NA	NA
NA	NA	NA	OACp4C	OACp4C	NA	NA	NA
NA	NA	NA	NCI-H2135	NCI-H2135	NA	NA	NA
NA	NA	NA	NCI-H835	NCI-H835	NA	NA	NA
NA	NA	NA	NB-TU-1-10	NA	NA	NA	NA
NA	NA	NA	COR-L321	COR-L321	NA	NA	NA
NA	NA	NA	IOSE-75-16SV40	IOSE-75-16SV40	NA	NA	NA
NA	NA	NA	OVCA420	OVCA420	NA	NA	OVCA420
NA	NA	NA	UWB1.289	UWB1.289	NA	NA	NA
NA	NA	NA	COR-L32	COR-L32	NA	COR-L32	NA
NA	NA	NA	Farage	Farage	NA	NA	FARAGE
NA	NA	NA	IOSE-364-	IOSE-364(-)	NA	NA	NA
NA	NA	NA	SK-GT-2	SK-GT-2	NA	NA	NA
NA	NA	NA	SW756	SW756	NA	NA	NA
NA	NA	NA	RWPE-1	NA	NA	NA	NA
NA	NA	NA	ROS-50	ROS-50	NA	NA	NA
NA	NA	NA	CHSA0011	CHSA0011	NA	NA	NA
NA	NA	NA	KYAE-1	KYAE-1	NA	NA	NA
NA	NA	NA	Ishikawa	NA	NA	NA	NA
NA	NA	NA	NCI-H847	NCI-H847	NA	NCI-H847	NA
NA	NA	NA	CHSA8926	CHSA8926	NA	NA	NA
NA	NA	NA	IOSE-523-	IOSE-523(-)	NA	NA	NA
NA	NA	NA	DIFI	DIFI	NA	NA	NA
NA	NA	NA	OV-17R	OV-17R	NA	NA	NA
NA	NA	NA	BICR10	BICR10	NA	NA	NA
NA	NA	NA	Mo	NA	NA	NA	NA
NA	NA	NA	NCI-H1417	NCI-H1417	NA	NCI-H1417	NA
NA	NA	NA	MLMA	MLMA	NA	NA	NA
NA	NA	NA	COR-L303	COR-L303	NA	NA	NA
NA	NA	NA	JHOS-3	JHOS-3	NA	NA	NA
NA	NA	NA	IOSE-397	IOSE-397	NA	NA	NA
NA	NA	NA	HCE-7	NA	NA	NA	NA
NA	NA	NA	UE6E7T-3	NA	NA	NA	NA
NA	NA	NA	MDA-MB-330	MDA-MB-330	NA	NA	NA
NA	NA	NA	MC-CAR	MC-CAR	NA	NA	NA
NA	NA	NA	YT	YT	NA	NA	NA
NA	NA	NA	SK-GT-4	SK-GT-4	NA	NA	NA
NA	NA	NA	RWPE2-W99	NA	NA	NA	NA
NA	NA	NA	CS1	CS1	NA	NA	NA
NA	NA	NA	PWR-1E	PWR-1E	NA	NA	NA
NA	NA	NA	NCI-H748	NCI-H748	NA	NCI-H748	NA
NA	NA	NA	SCCH-196	NA	NA	NA	NA
NA	NA	NA	PCI-4B	PCI-4B	NA	NA	NA
NA	NA	NA	SACC-83	NA	NA	NA	NA
NA	NA	NA	RCC-FG2	RCC-FG2	NA	NA	NA
NA	NA	NA	SW156	SW156	NA	NA	SW156
NA	NA	NA	Sci-1	Sci-1	NA	NA	NA
NA	NA	NA	HSC-39	HSC-39	NA	NA	NA
NA	NA	NA	RCC-ER	RCC-ER	NA	NA	RCCER
NA	NA	NA	HO-1-u-1	HO-1-u-1	NA	NA	NA
NA	NA	NA	M00921	NA	NA	NA	NA
NA	NA	NA	SCC90	SCC90	NA	NA	NA
NA	NA	NA	C-4-I	C-4-I	NA	NA	NA
NA	NA	NA	M980513	NA	NA	NA	NA
NA	NA	NA	JHU-029	JHU-029	NA	NA	JHU029
NA	NA	NA	STS-0421	STS-0421	NA	NA	NA
NA	NA	NA	TK	TK	NA	NA	TK
NA	NA	NA	RCC-JF	RCC-JF	NA	NA	RCCJF
NA	NA	NA	KYSE-220	KYSE-220	NA	NA	NA
NA	NA	NA	CHSA0108	CHSA0108	NA	NA	NA
NA	NA	NA	TASK1	TASK1	NA	NA	NA
NA	NA	NA	Hey	Hey	NA	NA	NA
NA	NA	NA	SU-DHL-16	SU-DHL-16	NA	NA	SUDHL16
NA	NA	NA	K2	K2	NA	NA	NA
NA	NA	NA	NCC010	NCC010	NA	NA	NA
NA	NA	NA	KARPAS-1106P	KARPAS-1106P	NA	NA	KARPAS1106P
NA	NA	NA	CP50-MEL-B	CP50-MEL-B	NA	NA	NA
NA	NA	NA	DOV13	DOV13	NA	NA	NA
NA	NA	NA	NCI-H720	NCI-H720	NA	NCI-H720	NA
NA	NA	NA	FLO-1	FLO-1	NA	NA	NA
NA	NA	NA	Hs-445	Hs-445	NA	NA	NA
NA	NA	NA	OCI-LY7	OCI-LY7	NA	NA	OCILY7
NA	NA	NA	JHU-028	JHU-028	NA	NA	NA
NA	NA	NA	LC-1-sq	LC-1-sq	NA	NA	NA
NA	NA	NA	MET-2B	NA	NA	NA	NA
NA	NA	NA	PEO1	PEO1	NA	NA	NA
NA	NA	NA	PL4	PL4	NA	NA	NA
NA	NA	NA	NA	A1847	NA	NA	NA
NA	NA	NA	NA	BC-2	NA	NA	NA
NA	NA	NA	NA	Caov-2	NA	NA	NA
NA	NA	NA	NA	CRO-AP3	NA	NA	NA
NA	NA	NA	NA	EW7476	NA	NA	NA
NA	NA	NA	NA	Geo	NA	NA	NA
NA	NA	NA	NA	H2596	NA	NA	NA
NA	NA	NA	NA	Hs-939-T	NA	NA	NA
NA	NA	NA	NA	JHU-013	NA	NA	NA
NA	NA	NA	NA	JHU-019	NA	NA	NA
NA	NA	NA	NA	K1	NA	NA	NA
NA	NA	NA	NA	K19	NA	NA	NA
NA	NA	NA	NA	K4	NA	NA	NA
NA	NA	NA	NA	K8	NA	NA	NA
NA	NA	NA	NA	Kasumi-3	NA	NA	KASUMI3
NA	NA	NA	NA	KMH-2	NA	NA	NA
NA	NA	NA	NA	LIM1215	NA	NA	NA
NA	NA	NA	NA	MB157	NA	NA	NA
NA	NA	NA	NA	MCC13	NA	NA	NA
NA	NA	NA	NA	MCC26	NA	NA	NA
NA	NA	NA	NA	MKL-1-subclone-2	NA	NA	NA
NA	NA	NA	NA	MKL-2	NA	NA	NA
NA	NA	NA	NA	MY-M12	NA	NA	NA
NA	NA	NA	NA	NB(TU)1-10	NA	NA	NA
NA	NA	NA	NA	NCI-H128	NA	NCI-H128	NA
NA	NA	NA	NA	NCI-H1404	NA	NA	NA
NA	NA	NA	NA	NCI-H1926	NA	NA	NA
NA	NA	NA	NA	NCI-H220	NA	NCI-H220	NA
NA	NA	NA	NA	NCI-H719	NA	NCI-H719	NA
NA	NA	NA	NA	NCI-H735	NA	NCI-H735	NA
NA	NA	NA	NA	NCI-H820	NA	NA	NA
NA	NA	NA	NA	NCI-H865	NA	NCI-H865	NA
NA	NA	NA	NA	NK-92MI	NA	NA	NA
NA	NA	NA	NA	OSA-80	NA	NA	NA
NA	NA	NA	NA	OVCA432	NA	NA	NA
NA	NA	NA	NA	OVCA433	NA	NA	NA
NA	NA	NA	NA	OVCAR-10	NA	NA	NA
NA	NA	NA	NA	OVCAR-2	NA	NA	NA
NA	NA	NA	NA	P116	NA	NA	NA
NA	NA	NA	NA	PC-3_[JPC-3]	NA	NA	NA
NA	NA	NA	NA	Sarc9371	NA	NA	NA
NA	NA	NA	NA	Set2	NA	NA	NA
NA	NA	NA	NA	Takigawa	NA	NA	NA
NA	NA	NA	NA	Tera-1	NA	NA	NA
NA	NA	NA	NA	TMK-1	NA	NA	NA
NA	NA	NA	NA	U-CH1	NA	NA	NA
NA	NA	NA	NA	UDSCC2	NA	NA	NA
NA	NA	NA	NA	UISO-MCC-1	NA	NA	NA
NA	NA	NA	NA	WM1158	NA	NA	NA
NA	NA	NA	NA	WM239A	NA	NA	NA
NA	NA	NA	NA	WM902B	NA	NA	NA
NA	NA	NA	NA	YMB-1-E	NA	NA	NA
NA	NA	NA	NA	NA	NA	WI-38	NA
NA	NA	NA	NA	NA	NA	A549/ATCC	NA
NA	NA	NA	NA	NA	NA	NARna	NA
NA	NA	NA	NA	NA	NA	MRC-9	NA
NA	NA	NA	NA	NA	NA	NLRna1	NA
NA	NA	NA	NA	NA	NA	NLRna2	NA
NA	NA	NA	NA	NA	NA	DMS 187	NA
NA	NA	NA	NA	NA	NA	LXFS 650L	NA
NA	NA	NA	NA	NA	NA	COR L88	NA
NA	NA	NA	NA	NA	NA	LXFS 605L	NA
NA	NA	NA	NA	NA	NA	NCI-H69/CPR	NA
NA	NA	NA	NA	NA	NA	NCI-H69/LX10	NA
NA	NA	NA	NA	NA	NA	NCI-H69VCR/R	NA
NA	NA	NA	NA	NA	NA	NCI-H711	NA
NA	NA	NA	NA	NA	NA	NCI-H774	NA
NA	NA	NA	NA	NA	NA	NCI-H1672	NA
NA	NA	NA	NA	NA	NA	NCI-H1882	NA
NA	NA	NA	NA	NA	NA	NCI-H249	NA
NA	NA	NA	NA	NA	NA	NCI-H2198	NA
NA	NA	NA	NA	NA	NA	NA	HOC1
NA	NA	NA	NA	NA	NA	NA	HOC7
NA	NA	NA	NA	NA	NA	NA	HOC8
NA	NA	NA	NA	NA	NA	NA	ZR75T
NA	NA	NA	NA	NA	NA	NA	293T
NA	NA	NA	NA	NA	NA	NA	PEO
NA	NA	NA	NA	NA	NA	NA	UPN251
NA	NA	NA	NA	NA	NA	NA	EN1078D
NA	NA	NA	NA	NA	NA	NA	ETN1
NA	NA	NA	NA	NA	NA	NA	SKUT2
NA	NA	NA	NA	NA	NA	NA	HEC116
NA	NA	NA	NA	NA	NA	NA	HEC88NU
NA	NA	NA	NA	NA	NA	NA	SNGII
NA	NA	NA	NA	NA	NA	NA	NOU1
NA	NA	NA	NA	NA	NA	NA	EI
NA	NA	NA	NA	NA	NA	NA	HHUA7
NA	NA	NA	NA	NA	NA	NA	ARK1
NA	NA	NA	NA	NA	NA	NA	ARK2
NA	NA	NA	NA	NA	NA	NA	DFCI032
NA	NA	NA	NA	NA	NA	NA	H2077
NA	NA	NA	NA	NA	NA	NA	H2250
NA	NA	NA	NA	NA	NA	NA	H2258
NA	NA	NA	NA	NA	NA	NA	H720
NA	NA	NA	NA	NA	NA	NA	H820
NA	NA	NA	NA	NA	NA	NA	H920
NA	NA	NA	NA	NA	NA	NA	H969
NA	NA	NA	NA	NA	NA	NA	HCC1313
NA	NA	NA	NA	NA	NA	NA	HCC4011
NA	NA	NA	NA	NA	NA	NA	HCC4019
NA	NA	NA	NA	NA	NA	NA	HCC2429
NA	NA	NA	NA	NA	NA	NA	HCC4018
NA	NA	NA	NA	NA	NA	NA	PC9
NA	NA	NA	NA	NA	NA	NA	H2195
NA	NA	NA	NA	NA	NA	NA	H2073
NA	NA	NA	NA	NA	NA	NA	H1770
NA	NA	NA	NA	NA	NA	NA	HCC193
NA	NA	NA	NA	NA	NA	NA	HCC4017
NA	NA	NA	NA	NA	NA	NA	H2882
NA	NA	NA	NA	NA	NA	NA	H1993
NA	NA	NA	NA	NA	NA	NA	H324
NA	NA	NA	NA	NA	NA	NA	584
NA	NA	NA	NA	NA	NA	NA	HN30
NA	NA	NA	NA	NA	NA	NA	HN31
NA	NA	NA	NA	NA	NA	NA	H125
NA	NA	NA	NA	NA	NA	NA	HN4
NA	NA	NA	NA	NA	NA	NA	HN5
NA	NA	NA	NA	NA	NA	NA	MDA1186
NA	NA	NA	NA	NA	NA	NA	MDA1386TU
NA	NA	NA	NA	NA	NA	NA	MDA1586
NA	NA	NA	NA	NA	NA	NA	H1819
NA	NA	NA	NA	NA	NA	NA	MDA1686
NA	NA	NA	NA	NA	NA	NA	MDA886LN
NA	NA	NA	NA	NA	NA	NA	MSK922
NA	NA	NA	NA	NA	NA	NA	HCC2374
NA	NA	NA	NA	NA	NA	NA	PCI13
NA	NA	NA	NA	NA	NA	NA	PCI24
NA	NA	NA	NA	NA	NA	NA	PJ34
NA	NA	NA	NA	NA	NA	NA	HCC2450
NA	NA	NA	NA	NA	NA	NA	HCC3051
NA	NA	NA	NA	NA	NA	NA	SCC61
NA	NA	NA	NA	NA	NA	NA	SN1
NA	NA	NA	NA	NA	NA	NA	SN2
NA	NA	NA	NA	NA	NA	NA	SQCCY1
NA	NA	NA	NA	NA	NA	NA	SR1
NA	NA	NA	NA	NA	NA	NA	TR146
NA	NA	NA	NA	NA	NA	NA	UMSCC1
NA	NA	NA	NA	NA	NA	NA	HCC515
NA	NA	NA	NA	NA	NA	NA	UMSCC10A
NA	NA	NA	NA	NA	NA	NA	UMSCC11B
NA	NA	NA	NA	NA	NA	NA	UMSCC14B
