"stripped_cell_line_name"	"CCLE_Name"	"Alias"	"COSMICID"	"sex"	"source"	"Achilles_n_replicates"	"cell_line_NNMD"	"culture_type"	"culture_medium"	"cas9_activity"	"RRID"	"sample_collection_site"	"primary_or_metastasis"	"primary_disease"	"Subtype"	"age"	"Sanger_Model_ID"	"depmap_public_comments"	"lineage"	"lineage_subtype"	"lineage_sub_subtype"	"lineage_molecular_subtype"	"depmap_id"	"cdb.name"	"TissueType"	"OncoTree1"	"OncoTree2"	"OncoTree3"	"OncoTree4"	"EMT"	"NAPY"	"TNBC"
"LS513"	"LS513_LARGE_INTESTINE"	""	907795	"Male"	"ATCC"	2	-2.5867076	"Adherent"	"RPMI + 10% FBS"	"52.3"	"CVCL_1386"	"large_intestine"	"Primary"	"Colon/Colorectal Cancer"	"Adenocarcinoma"	63	"SIDM00677"	""	"colorectal"	"colorectal_adenocarcinoma"	""	""	"ACH-000007"	"LS513"	"large_intestine: adenocarcinoma"	"Bowel"	"Colorectal Adenocarcinoma (COADREAD)"	NA	NA	"Epithelial"	NA	NA
"LU135"	"LU135_LUNG"	""	713899	"Male"	"JCRB"	2	-4.2309121	"Suspension"	"RPMI + 10% FBS"	"3.8"	"CVCL_1389"	"lung"	"Primary"	"Lung Cancer"	"Small Cell Lung Cancer (SCLC)"	69	"SIDM00294"	""	"lung"	"SCLC"	""	""	"ACH-001549"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"LU65"	"LU65_LUNG"	""	724863	"Male"	"JCRB"	2	-3.5186703	"Suspension"	"RPMI + 20% FBS"	"11"	"CVCL_1392"	"lung"	"Primary"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma"	64	"SIDM00547"	""	"lung"	"NSCLC"	"NSCLC_large_cell"	""	"ACH-000438"	"LU65"	"lung: non_small_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"Epithelial-Mesenchymal"	NA	NA
"LU99"	"LU99_LUNG"	""	NA	"Male"	"HSRRB"	2	-4.4532083	"Adherent"	"RPMI + 10% FBS"	"43"	"CVCL_3015"	"pleura"	"Metastasis"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Large Cell Carcinoma"	63	"SIDM00546"	""	"lung"	"NSCLC"	"NSCLC_large_cell"	""	"ACH-000444"	"LU99"	"lung: large_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	NA	NA	"Mesenchymal"	NA	NA
"LUDLU1"	"LUDLU1_LUNG"	""	NA	"Male"	"ECACC"	2	-3.9819748	"Adherent"	"RPMI + 10% FBS"	"13.2"	"CVCL_2582"	"lung"	"Primary"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma"	72	""	""	"lung"	"NSCLC"	"NSCLC_squamous"	""	"ACH-000390"	"LUDLU-1"	"lung: squamous_cell_carcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Squamous Cell Carcinoma (LUSC)"	NA	"Epithelial"	NA	NA
"LXF289"	"LXF289_LUNG"	""	753592	"Male"	"DSMZ"	3	-5.0226374	"Adherent"	"F12 + 10% FBS"	"17.8"	"CVCL_1394"	"lung"	"Primary"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	63	"SIDM00339"	""	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"ACH-000787"	"LXF-289"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"Mesenchymal"	NA	NA
"M059K"	"M059K_CENTRAL_NERVOUS_SYSTEM"	""	NA	"Male"	"ATCC"	2	-4.5786731	"Adherent"	"DMEM:F12 (1:1) + 10% FBS"	"25.5"	"CVCL_0401"	"central_nervous_system"	"Primary"	"Brain Cancer"	"Glioblastoma"	33	"SIDM00639"	""	"central_nervous_system"	"glioma"	"glioblastoma"	""	"ACH-000152"	"M059K"	"central_nervous_system: astrocytoma_Grade_IV"	"Brain_CNS"	"Diffuse Glioma (DIFG)"	"Astrocytoma (ASTR)"	NA	"Mesenchymal"	NA	NA
"MALME3M"	"MALME3M_SKIN"	""	NA	"Male"	"ATCC"	2	-3.5330781	"Adherent"	"RPMI + 10% FBS"	"53.4"	"CVCL_1438"	"lung"	"Metastasis"	"Skin Cancer"	"Melanoma"	43	"SIDM00011"	""	"skin"	"melanoma"	""	""	"ACH-000477"	"Malme-3M"	"skin: malignant_melanoma"	"Skin"	"Melanoma (MEL)"	NA	NA	"Mesenchymal"	NA	NA
"MB1"	"MB1_THYROID"	""	NA	"Male"	"DSMZ"	1	-3.5292405	"Adherent"	"RPMI + 20% FBS + Glutamine + NEAA"	"9.3"	"CVCL_2109"	"thyroid"	"Primary"	"Thyroid Cancer"	"Carcinoma, anaplastic"	57	""	""	"thyroid"	"thyroid_carcinoma"	"anaplastic"	""	"ACH-001356"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MC116"	"MC116_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	""	907799	"Male"	"ATCC"	2	-2.5303169	""	"RPMI + 20% FBS"	"50.1"	"CVCL_1399"	"pleural_effusion"	""	"Lymphoma"	"B-cell, Non-Hodgkins"	NA	"SIDM00637"	""	"lymphocyte"	"non_hodgkin_lymphoma"	"b_cell"	""	"ACH-000583"	"MC116"	"haematopoietic_and_lymphoid_tissue: B_cell_lymphoma_unspecified"	"Lymph"	"Non-Hodgkin's Lymphoma (NHL)"	"B-Cell Lymphoma (BCL)"	NA	NA	NA	NA
"MCAS"	"MCAS_OVARY"	""	NA	"Female"	"HSRRB"	2	-4.241318	"Adherent"	"MEM + 15% FBS"	"9.8"	"CVCL_3020"	"ovary"	"Primary"	"Ovarian Cancer"	"Cystadenocarcinoma, mucinous"	NA	"SIDM00008"	""	"ovary"	"ovary_adenocarcinoma"	"mucinous"	""	"ACH-000796"	"MCAS"	"ovary: adenocarcinoma"	"Ovary"	"Ovarian Epithelial Tumor (OVT)"	NA	NA	"Epithelial"	NA	NA
"MCC13"	"MCC13_SKIN"	""	NA	"Female"	"Sigma-Aldrich"	2	-3.9080899	"Adherent"	"RPMI + 15% FBS + 2mM L-glutamine + 25mM HEPES"	"43"	"CVCL_2583"	"lymph_node"	"Metastasis"	"Skin Cancer"	"Merkel Cell Carcinoma"	NA	"SIDM00007"	""	"skin"	"merkel_cell_carcinoma"	""	""	"ACH-001550"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MCC142"	"MCC142_SKIN"	""	NA	"Male"	"Sigma-Aldrich"	2	-4.6969687	"Adherent"	"RPMI + 15% FBS + 2mM L-glutamine + 25mM HEPES"	"10.7"	"CVCL_2584"	"lymph_node"	"Metastasis"	"Skin Cancer"	"Merkel Cell Carcinoma"	80	""	""	"skin"	"merkel_cell_carcinoma"	""	""	"ACH-001551"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MCC26"	"MCC26_SKIN"	""	NA	"Female"	"Sigma-Aldrich"	2	-2.6522077	"Adherent"	"RPMI + 15% FBS + 2mM L-glutamine + 25mM HEPES"	"49.3"	"CVCL_2585"	"skin"	"Primary"	"Skin Cancer"	"Merkel Cell Carcinoma"	NA	"SIDM00006"	""	"skin"	"merkel_cell_carcinoma"	""	""	"ACH-001552"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MCF7"	"MCF7_BREAST"	""	905946	"Female"	"ATCC"	2	-2.4936755	"Adherent"	"MEM + 10% FBS + 0.01mg/ml Insulin (Bovine)"	"35"	"CVCL_0031"	"pleural_effusion"	"Metastasis"	"Breast Cancer"	"Carcinoma"	69	"SIDM00148"	""	"breast"	"breast_carcinoma"	"ERpos_HER2neg"	"luminal"	"ACH-000019"	"MCF7"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"Epithelial"	NA	NA
"MDAMB157"	"MDAMB157_BREAST"	""	925338	"Female"	"ATCC"	3	-4.3352501	"Adherent"	"RPMI + 10% FBS"	"8"	"CVCL_0618"	"pleural_effusion"	"Metastasis"	"Breast Cancer"	"Breast Ductal Carcinoma"	44	"SIDM00529"	""	"breast"	"breast_ductal_carcinoma"	"ERneg_HER2neg"	"basal_B"	"ACH-000621"	"MDA-MB-157"	"breast: ductal_carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	"Breast Invasive Ductal Carcinoma (IDC)"	NA	"Mesenchymal"	NA	"Breast Triple Negative"
"MDAMB231"	"MDAMB231_BREAST"	""	905960	"Female"	"ATCC"	2	-3.8395206	"Adherent"	"RPMI + 10% FBS"	"9"	"CVCL_0062"	"pleural_effusion"	"Metastasis"	"Breast Cancer"	"Carcinoma"	51	"SIDM00146"	""	"breast"	"breast_carcinoma"	"ERneg_HER2neg"	"basal_B"	"ACH-000768"	"MDA-MB-231"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"Mesenchymal"	NA	"Breast Triple Negative"
"MDAMB415"	"MDAMB415_BREAST"	""	924240	"Female"	"ATCC"	3	-3.717563	"Adherent"	"L15 + 15% FBS + 2mM Glutamine + 10ug/ml Insulin + 10ug/ml Glutathione"	"8"	"CVCL_0621"	"pleural_effusion"	"Metastasis"	"Breast Cancer"	"Carcinoma"	38	"SIDM00630"	""	"breast"	"breast_carcinoma"	"ERpos_HER2neg"	"HER2_amp"	"ACH-000876"	"MDA-MB-415"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"Epithelial"	NA	NA
"MDAMB435S"	"MDAMB435S_SKIN"	""	NA	"Unknown"	"ATCC"	2	-4.0977827	"Adherent"	"RPMI + 10% FBS"	"22.8"	"CVCL_0622"	"skin"	"Metastasis"	"Skin Cancer"	"Melanoma, amelanotic"	31	"SIDM01222"	""	"skin"	"melanoma"	"amelanotic"	""	"ACH-000884"	"MDA-MB-435S"	"skin: malignant_melanoma"	"Skin"	"Melanoma (MEL)"	NA	NA	"Mesenchymal"	NA	NA
"MDAMB436"	"MDAMB436_BREAST"	""	1240172	"Female"	"ATCC"	3	-5.2426701	"Mixed adherent and suspension"	"RPMI + 10% FBS + 16ug/ml Glutathione"	"47.3"	"CVCL_0623"	"pleural_effusion"	"Metastasis"	"Breast Cancer"	"Carcinoma"	43	"SIDM00629"	""	"breast"	"breast_carcinoma"	"ERneg_HER2neg"	"basal_B"	"ACH-000573"	"MDA-MB-436"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"Mesenchymal"	NA	"Breast Triple Negative"
"MDAMB453"	"MDAMB453_BREAST"	""	908122	"Female"	"ATCC"	3	-3.8791822	"Adherent"	"RPMI + 10% FBS"	"18"	"CVCL_0418"	"pericardial_effusion"	"Metastasis"	"Breast Cancer"	"Carcinoma"	48	"SIDM00272"	""	"breast"	"breast_carcinoma"	"ERneg_HER2neg"	"HER2_amp"	"ACH-000910"	"MDA-MB-453"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"Epithelial"	NA	"Breast Triple Negative"
"MDAMB468"	"MDAMB468_BREAST"	""	908123	"Female"	"ATCC"	1	-4.4810484	"Adherent"	"DMEM + 10% FBS"	"9.4"	"CVCL_0419"	"pleural_effusion"	"Metastasis"	"Breast Cancer"	"Carcinoma"	51	"SIDM00628"	""	"breast"	"breast_carcinoma"	"ERneg_HER2neg"	"basal_A"	"ACH-000849"	"MDA-MB-468"	"breast: carcinoma"	"Breast"	"Breast Carcinoma (BRCA)"	NA	NA	"Epithelial"	NA	"Breast Triple Negative"
"MDST8"	"MDST8_LARGE_INTESTINE"	""	1240173	"Unknown"	"ECACC"	3	-2.8505929	"Adherent"	"DMEM + 10% FBS + 2mM Glutamine"	"27.8"	"CVCL_2588"	"large_intestine"	""	"Colon/Colorectal Cancer"	"Adenocarcinoma"	NA	"SIDM00527"	""	"colorectal"	"colorectal_adenocarcinoma"	""	""	"ACH-000935"	"MDST8"	"large_intestine: adenocarcinoma"	"Bowel"	"Colorectal Adenocarcinoma (COADREAD)"	NA	NA	"Mesenchymal"	NA	NA
"MEC1"	"MEC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	""	NA	"Male"	"DSMZ"	2	-4.4124392	"Suspension"	"IMDM + 10% FBS"	"42.5"	"CVCL_1870"	"haematopoietic_and_lymphoid_tissue"	""	"Leukemia"	"Chronic Lymphoblastic Leukemia (CLL), B-cell"	61	"SIDM00001"	""	"blood"	"CLL"	"b_cell"	""	"ACH-000405"	"MEC-1"	"haematopoietic_and_lymphoid_tissue: chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma"	"Blood"	"Leukemia (LEUK)"	"Chronic Lymphocytic Leukemia (CLL)"	NA	NA	NA	NA
"MEL202"	"MEL202_UVEA"	""	NA	"Female"	"ECACC"	2	-4.7490071	"Adherent"	"RPMI + 10% FBS + 2mM Glutamine"	"26.8"	"CVCL_C301"	"uvea"	"Primary"	"Eye Cancer"	"Uveal Melanoma"	NA	""	""	"eye"	"uveal_melanoma"	""	""	"ACH-001554"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MEL285"	"MEL285_UVEA"	""	NA	"Female"	"Academic lab"	1	-3.4885346	"Adherent"	"RPMI + 20% FBS + 3mM L-glutamine"	"10.5"	"CVCL_C303"	"uvea"	"Primary"	"Eye Cancer"	"Uveal Melanoma"	49	""	""	"eye"	"uveal_melanoma"	""	""	"ACH-002015"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MEL290"	"MEL290_UVEA"	""	NA	"Female"	"Academic lab"	2	-3.8617294	"Adherent"	"RPMI + 20% FBS + 3mM L-glutamine"	"42"	""	"uvea"	"Primary"	"Eye Cancer"	"Uveal Melanoma"	67	""	""	"eye"	"uveal_melanoma"	""	""	"ACH-002016"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MELHO"	"MELHO_SKIN"	""	908124	"Female"	"DSMZ"	2	-3.0037106	"Adherent"	"RPMI + 10% FBS"	"41.4"	"CVCL_1402"	"skin"	"Primary"	"Skin Cancer"	"Melanoma"	NA	"SIDM00337"	""	"skin"	"melanoma"	""	""	"ACH-000450"	"MEL-HO"	"skin: malignant_melanoma"	"Skin"	"Melanoma (MEL)"	NA	NA	"Mesenchymal"	NA	NA
"MELJUSO"	"MELJUSO_SKIN"	""	908125	"Female"	"DSMZ"	2	-3.9059288	"Adherent"	"RPMI + 10% FBS"	"19.8"	"CVCL_1403"	"skin"	"Primary"	"Skin Cancer"	"Melanoma"	58	"SIDM00336"	""	"skin"	"melanoma"	""	""	"ACH-000881"	"MEL-JUSO"	"skin: malignant_melanoma"	"Skin"	"Melanoma (MEL)"	NA	NA	"Mesenchymal"	NA	NA
"MERO14"	"MERO14_PLEURA"	""	NA	"Male"	"Sigma-Aldrich"	2	-2.4634094	"Adherent"	"F12 + 15% FBS + 1% Glutamax"	"14.5"	"CVCL_2590"	"pleural_effusion"	"Primary"	"Lung Cancer"	"Mesothelioma"	60	""	""	"lung"	"mesothelioma"	""	""	"ACH-001555"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MERO82"	"MERO82_PLEURA"	""	NA	"Unknown"	"Sigma-Aldrich"	1	-2.8506538	"Adherent"	"F12 + 15% FBS + 2mM Glutamine"	"8.8"	"CVCL_2594"	"pleural_effusion"	"Primary"	"Lung Cancer"	"Mesothelioma"	NA	""	""	"lung"	"mesothelioma"	""	""	"ACH-001559"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MFE319"	"MFE319_ENDOMETRIUM"	""	1240174	"Female"	"DSMZ"	2	-3.8475344	"Adherent"	"RPMI:MEM (1:1) + 20% heat inactivated FBS"	"42.1"	"CVCL_2112"	"endometrium"	""	"Endometrial/Uterine Cancer"	""	81	"SIDM00333"	""	"uterus"	"endometrial_adenocarcinoma"	""	""	"ACH-000988"	"MFE-319"	"endometrium: adenocarcinoma"	"Uterus"	"Endometrial Carcinoma (UCEC)"	NA	NA	"Epithelial"	NA	NA
"MHHNB11"	"MHHNB11_AUTONOMIC_GANGLIA"	""	908135	"Male"	"DSMZ"	3	-2.124524	"Mixed adherent and suspension"	"RPMI + 10% FBS"	"39.7"	"CVCL_1412"	"autonomic_ganglia"	"Metastasis"	"Neuroblastoma"	""	4	"SIDM00387"	""	"peripheral_nervous_system"	"neuroblastoma"	""	"MYCN_amp"	"ACH-000078"	"MHH-NB-11"	"autonomic_ganglia: neuroblastoma"	"Brain_CNS"	"Embryonal Tumor (EMBT)"	"Neuroblastoma (NBL)"	NA	"Mesenchymal"	NA	NA
"MIAPACA2"	"MIAPACA2_PANCREAS"	""	724870	"Male"	"ATCC"	4	-5.4223381	"Adherent"	"DMEM + 10% FBS"	"11.7"	"CVCL_0428"	"pancreas"	"Primary"	"Pancreatic Cancer"	"Ductal Adenocarcinoma, exocrine"	65	"SIDM00505"	""	"pancreas"	"exocrine"	"exocrine_adenocarcinoma"	""	"ACH-000601"	"MIA PaCa-2"	"pancreas: ductal_carcinoma"	"Pancreas"	"Pancreatic Adenocarcinoma (PAAD)"	NA	NA	"Mesenchymal"	NA	NA
"MKN45"	"MKN45_STOMACH"	""	925340	"Female"	"HSRRB"	2	-2.3299725	"Adherent"	"RPMI + 10% FBS"	"23.9"	"CVCL_0434"	"liver"	"Metastasis"	"Gastric Cancer"	"Adenocarcinoma"	62	"SIDM00247"	""	"gastric"	"gastric_adenocarcinoma"	"diffuse_gastric"	""	"ACH-000356"	"MKN-45"	"stomach: diffuse_adenocarcinoma"	"Esophagus_Stomach"	"Esophagogastric Adenocarcinoma (EGC)"	"Stomach Adenocarcinoma (STAD)"	NA	"Epithelial"	NA	NA
"MKN74"	"MKN74_STOMACH"	""	NA	"Male"	"HSRRB"	2	-3.9149759	"Adherent"	"RPMI + 10% FBS"	"7.3"	"CVCL_2791"	"liver"	"Metastasis"	"Gastric Cancer"	"Adenocarcinoma"	37	"SIDM00248"	""	"gastric"	"gastric_adenocarcinoma"	""	""	"ACH-000758"	"MKN74"	"stomach: tubular_adenocarcinoma"	"Esophagus_Stomach"	"Esophagogastric Adenocarcinoma (EGC)"	"Stomach Adenocarcinoma (STAD)"	NA	"Epithelial"	NA	NA
"MM127"	"MM127_SKIN"	""	NA	"Male"	"Sigma-Aldrich"	2	-3.5668187	"Adherent"	"RPMI + 10% FBS + 2mM L-glutamine + 25mM HEPES"	"36.8"	"CVCL_2601"	"skin"	"Metastasis"	"Skin Cancer"	"Melanoma, amelanotic"	NA	""	""	"skin"	"melanoma"	"amelanotic"	""	"ACH-001563"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MM1S"	"MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	""	1659818	"Female"	"Academic lab"	2	-2.8027603	"Mixed adherent and suspension"	"RPMI + 10% FBS"	"6.9"	"CVCL_8792"	"haematopoietic_and_lymphoid_tissue"	"Primary"	"Myeloma"	"Multiple Myeloma"	NA	"SIDM01265"	""	"plasma_cell"	"multiple_myeloma"	""	""	"ACH-000763"	"MM1-S"	"haematopoietic_and_lymphoid_tissue: plasma_cell_myeloma"	"Blood"	"Multiple Myeloma (MM)"	NA	NA	NA	NA	NA
"MM370"	"MM370_SKIN"	""	NA	"Male"	"Sigma-Aldrich"	1	-4.182267	"Adherent"	"RPMI + 10% FBS + 1% L-glutamine + 1% HEPES"	"15.8"	"CVCL_2605"	"lymph_node"	"Metastasis"	"Skin Cancer"	"Melanoma"	NA	""	""	"skin"	"melanoma"	""	""	"ACH-001566"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MM383"	"MM383_SKIN"	""	NA	"Male"	"Sigma-Aldrich"	2	-4.0096853	"Adherent"	"RPMI + 1% L-glutamine + 1% HEPES"	"12.6"	"CVCL_2606"	"lymph_node"	"Metastasis"	"Skin Cancer"	"Melanoma"	NA	""	""	"skin"	"melanoma"	""	""	"ACH-001567"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MM386"	"MM386_SKIN"	""	NA	"Male"	"Sigma-Aldrich"	2	-4.6376952	"Adherent"	"RPMI + 1% Glutamax + HEPES"	"10.5"	"CVCL_2607"	"lymph_node"	"Metastasis"	"Skin Cancer"	"Melanoma"	NA	""	""	"skin"	"melanoma"	""	""	"ACH-001568"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MM426"	"MM426_SKIN"	""	NA	"Male"	"Sigma-Aldrich"	2	-4.0979163	"Adherent"	"RPMI + 10% FBS + 2mM L-glutamine + 25mM HEPES"	"44.5"	"CVCL_2609"	"lymph_node"	"Metastasis"	"Skin Cancer"	"Melanoma"	NA	""	""	"skin"	"melanoma"	""	""	"ACH-001570"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MOLM13"	"MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	""	1330947	"Male"	"DSMZ"	3	-3.1529024	"Suspension"	"RPMI + 20% FBS"	""	"CVCL_2119"	"haematopoietic_and_lymphoid_tissue"	"Primary"	"Leukemia"	"Acute Myelogenous Leukemia (AML)"	20	"SIDM00437"	""	"blood"	"AML"	""	""	"ACH-000362"	"MOLM-13"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	NA	NA	NA
"MONOMAC1"	"MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	""	NA	"Male"	"DSMZ"	2	-1.6908404	"Suspension"	"RPMI + 10% FBS + 2mM Glutamine + 1mM Sodium pyruvate + 0.1mM NEAA"	"53.4"	"CVCL_1425"	"haematopoietic_and_lymphoid_tissue"	"Primary"	"Leukemia"	"Acute Myelogenous Leukemia (AML)"	64	"SIDM01022"	""	"blood"	"AML"	""	""	"ACH-001129"	"MONO-MAC-1"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	NA	NA	NA
"MORCPR"	"MORCPR_LUNG"	""	NA	"Unknown"	"ECACC"	3	-3.5703763	"Adherent"	"RPMI + 10% FBS"	"22.6"	"CVCL_2620"	"lung"	"Primary"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	NA	""	""	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"ACH-000851"	"MOR/CPR"	"lung: adenocarcinoma"	"Lung"	"Non-Small Cell Lung Cancer (NSCLC)"	"Lung Adenocarcinoma (LUAD)"	NA	"Epithelial"	NA	NA
"MPP89"	"MPP89_PLEURA"	""	908150	"Male"	"ICLC"	2	-4.0091803	"Adherent"	"DMEM + 10% FBS"	"44.2"	"CVCL_1427"	"pleural_effusion"	""	"Lung Cancer"	"Mesothelioma"	67	"SIDM00222"	""	"lung"	"mesothelioma"	""	""	"ACH-000319"	"MPP 89"	"pleura: mesothelioma"	"Mesothelium"	"Mesothelioma (MESO)"	NA	NA	"Mesenchymal"	NA	NA
"MSTO211H"	"MSTO211H_PLEURA"	""	908152	"Male"	"ATCC"	2	-2.299389	"Adherent"	"RPMI + 10% FBS"	"19.5"	"CVCL_1430"	"pleural_effusion"	"Metastasis"	"Lung Cancer"	"Mesothelioma"	62	"SIDM00640"	""	"lung"	"mesothelioma"	""	""	"ACH-000335"	"MSTO-211H"	"pleura: mesothelioma"	"Mesothelium"	"Mesothelioma (MESO)"	NA	NA	"Mesenchymal"	NA	NA
"MUGCHOR1"	"MUGCHOR1_BONE"	""	NA	"Female"	"Academic lab"	3	-5.3679054	"Adherent"	"IMDM:RPMI (4:1) + 10% FBS"	"20.1"	"CVCL_9277"	"bone"	""	"Bone Cancer"	"Chordoma"	57	""	""	"bone"	"chordoma"	""	""	"ACH-001956"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MV411"	"MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	"MV-4-11"	908156	"Male"	"ATCC"	2	-2.8806227	"Suspension"	"IMDM + 10% FBS"	"11"	"CVCL_0064"	"haematopoietic_and_lymphoid_tissue"	"Primary"	"Leukemia"	"Acute Myelogenous Leukemia (AML)"	10	"SIDM00657"	""	"blood"	"AML"	""	""	"ACH-000045"	"MV-4-11"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	NA	NA	NA
"MYLA"	"MYLA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	""	NA	"Unknown"	"Academic lab"	2	-3.9157139	"Suspension"	"RPMI + 10% Human AB serum + 2mM Glutamine + 100units/ml IL-2 + 100units/ml IL-4"	"10.7"	""	"haematopoietic_and_lymphoid_tissue"	""	"Lymphoma"	"T-cell"	NA	""	""	"lymphocyte"	"lymphoma_unspecified"	"t_cell"	""	"ACH-001134"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NALM6"	"NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	""	908158	"Male"	"DSMZ"	2	-4.1953207	"Suspension"	"RPMI + 15% FBS"	"13.4"	"CVCL_0092"	"haematopoietic_and_lymphoid_tissue"	"Primary"	"Leukemia"	"Acute Lymphoblastic Leukemia (ALL), B-cell"	19	"SIDM00429"	""	"blood"	"ALL"	"b_cell"	""	"ACH-000938"	"NALM-6"	"haematopoietic_and_lymphoid_tissue: acute_lymphoblastic_B_cell_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Lymphoid Leukemia (ALL)"	NA	NA	NA	NA
"NB1"	"NB1_AUTONOMIC_GANGLIA"	""	949179	"Male"	"HSRRB"	3	-2.7609614	"Adherent"	"RPMI + 10% FBS"	"35.6"	"CVCL_1440"	"lymph_node"	"Metastasis"	"Neuroblastoma"	""	2	"SIDM00578"	""	"peripheral_nervous_system"	"neuroblastoma"	""	"MYCN_amp"	"ACH-000804"	"NB-1"	"autonomic_ganglia: neuroblastoma"	"Brain_CNS"	"Embryonal Tumor (EMBT)"	"Neuroblastoma (NBL)"	NA	"Mesenchymal"	NA	NA
"NB1643"	"NB1643_AUTONOMIC_GANGLIA"	""	NA	"Male"	"Academic lab"	2	-1.9683328	"Adherent"	"RPMI + 10% FBS + 1% Glutamax + 0.5% Gentamicin + HEPES"	"61.2"	"CVCL_5627"	"abdomen"	""	"Neuroblastoma"	""	3	""	""	"peripheral_nervous_system"	"neuroblastoma"	""	"MYCN_amp"	"ACH-001303"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NB4"	"NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE"	""	1323913	"Female"	"DSMZ"	3	-2.9949578	"Suspension"	"RPMI + 10% FBS"	"good"	"CVCL_0005"	"bone_marrow"	"Primary"	"Leukemia"	"Acute Myelogenous Leukemia (AML), M3 (Promyelocytic)"	23	"SIDM00428"	""	"blood"	"AML"	"M3"	""	"ACH-000294"	"NB-4"	"haematopoietic_and_lymphoid_tissue: acute_myeloid_leukaemia"	"Blood"	"Leukemia (LEUK)"	"Acute Myeloid Leukemia (AML)"	NA	NA	NA	NA
"NCIH1048"	"NCIH1048_LUNG"	""	687995	"Female"	"ATCC"	2	-5.1844473	"Adherent"	"RPMI + 10% FBS + 5ml Insulin-Transferrin-Selenium"	"10.7"	"CVCL_1453"	"pleural_effusion"	"Metastasis"	"Lung Cancer"	"Small Cell Lung Cancer (SCLC)"	NA	"SIDM00654"	""	"lung"	"SCLC"	""	""	"ACH-000866"	"NCI-H1048"	"lung: small_cell_carcinoma"	"Lung"	"Small Cell Lung Cancer (SCLC)"	NA	NA	"Epithelial-Mesenchymal"	"POU2F3"	NA
