Uppername	compound_id	compound_name	equivalent_structures	primary_moa	moas	primary_target_gene_symbol	phase	rdkit_smiles	CAS	cas	nsc	name	testing_status	mechanism	synonyms	cas.y	found	duplicated
OSIMERTINIB	2ca08a830dfaba03797a4b015efa6c1e	OSIMERTINIB	[NCGC00378622]	Epidermal Growth Factor Receptor (thr790met Mutant) Inhibitor	"[Epidermal Growth Factor Receptor (thr790met Mutant) Inhibitor, Egfr (thr790met Mutant) Inhibitor]"	EGFR	[Approved]	"[C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C.CS(=O)(=O)O, C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C]"	1421373-66-1	1421373661	"800812, 779217"	"OSIMERTINIB, OSIMERTINIB"	"NA, FDA approved"	"NA, PK:EGFR"	"NA, azd-9291|n-{2-[(2-dimethylaminoethyl)methylamino]-4-methoxy-5-[4-...|osimertinib|2-propenamide, n-[2-[[2-(dimethylamino)ethyl]methylamino...|azd9291"	", 1421373650"	"name, name"	"TRUE, TRUE"
OTSSP167	77d4144c6d13bcd413400cd46094a4f6	Otssp167	"[NCGC00389259, NCGC00386398]"	Maternal Embryonic Leucine Zipper Kinase Inhibitor	"[Maternal Embryonic Leucine Zipper Kinase Inhibitor, Melk Inhibitor]"	MELK	"[Phase I/II, Unknown]"	"[CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@H](CN(C)C)CC1, CC(=O)c1cnc2ccc(-c3cc(Cl)c(O)c(Cl)c3)nc2c1N[C@H]1CC[C@@H](CN(C)C)CC1, CC(=O)c1cnc2c(c1NC1CCC(CN(C)C)CC1)NC(=C1C=C(Cl)C(=O)C(Cl)=C1)C=C2]"	1431698-10-0	1431698100	801013	OTSSP167	NA	NA	NA		name	FALSE
PACRITINIB	ce4b2823836aa6dc88e8aaf00e82b5fc	Pacritinib	"[NCGC00381564, NCGC00390623, NCGC00389254]"	Tyrosine-protein Kinase Jak2 Inhibitor	"[Tyrosine-protein Kinase Jak2 Inhibitor, Jak2 / Flt3 Inhibitor, Interleukin-1 Receptor-associated Kinase 1 Inhibitor, Macrophage Colony-stimulating Factor 1 Receptor Inhibitor, Cyclin-dependent Kinase 2 Inhibitor, Receptor-type Tyrosine-protein Kinase Flt3 Inhibitor, Tyrosine-protein Kinase Receptor Flt3 Inhibitor]"	JAK2	"[Phase III, Unknown]"	"[C1=C\COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC/1, C1=CCOCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC1.Cl, C1=CC2=N/C(=N\c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc2c3)N1, C1=CCOCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC1, C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2cccc(c2)COC/1]"	937272-79-2	937272792	800814	PACRITINIB	NA	NA	NA		name	FALSE
PELITINIB	2ba2f57896449fe5932ca404c88c8c51	Pelitinib	[NCGC00263103]	Egfr (her1; Erbb1) Inhibitor	"[Egfr (her1; Erbb1) Inhibitor, Epidermal Growth Factor Receptor Inhibitor, Egfr Inhibitor]"	EGFR	"[Phase II, Unknown]"	"[CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C=C/CN(C)C, CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=CCN(C)C]"	257933-82-7	257933827	800841	PELITINIB	NA	NA	NA		name	FALSE
PEXMETINIB	ffb087e97b5f74c4281968bc3b64e2c6	Pexmetinib	[NCGC00481573]	Mitogen-activated Protein Kinase 14 Inhibitor	"[Mitogen-activated Protein Kinase 14 Inhibitor, P38 Mapk Inhibitor, Angiopoetin-1 Receptor Inhibitor]"	MAPK14	"[Unknown, Phase I]"	"[Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)NCc2cc(F)ccc2Oc2ccc3c(cnn3CCO)c2)cc1, Cc1ccc(-n2nc(C(C)(C)C)cc2N/C(O)=N/Cc2cc(F)ccc2Oc2ccc3c(cnn3CCO)c2)cc1]"		NA	800844	PEXMETINIB	NA	NA	NA		name	FALSE
PF-03758309	af001659f6ea17c4de92a6682da63c16	PF-03758309	"[NCGC00387862, NCGC00345784]"	P21-activated Kinase 4 (pak4) Inhibitor	"[P21-activated Kinase 4 (pak4) Inhibitor, P21-activated Kinase 4 (pak4) Inhibitors, Serine/threonine-protein Kinase Pak 4 Inhibitor]"	PAK4	"[Discontinued, Phase I]"	"[Cc1nc(Nc2n[nH]c3c2CN(C(=O)NC(CN(C)C)c2ccccc2)C3(C)C)c2sccc2n1, Cc1nc(Nc2[nH]nc3c2CN(C(=O)N[C@H](CN(C)C)c2ccccc2)C3(C)C)c2sccc2n1, Cc1nc(Nc2n[nH]c3c2CN(C(=O)N[C@H](CN(C)C)c2ccccc2)C3(C)C)c2sccc2n1]"	898044-15-0	898044150	781470	PF-03758309	Clinical trial	PK:PAK4	pf-03758309|a-1091|PF-3758309	1279034842	name	FALSE
PF-04217903	8cfcd1e2af97380ad92d46e2ff4e810e	PF-04217903	[NCGC00263161]	Hgfr (met; C-met) Inhibitor	"[Hgfr (met; C-met) Inhibitor, Hepatocyte Growth Factor Receptor Inhibitor, Hgfr Inhibitor]"	MET	"[Discontinued, Unknown, Phase I]"	"[OCCn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1, CS(=O)(=O)O.OCCn1cc(-c2cnc3nnn(Cc4ccc5ncccc5c4)c3n2)cn1]"	1159490-85-3	1159490853	763931	PF-04217903	Clinical trial	PK:MET	202221|;pf-04217903;202221|pf-04217903|PF-4217903	956905274	name	FALSE
PF-04691502	2e51a91f06920a6f222d3df7d0fdbde6	PF-04691502	"[NCGC00346659, NCGC00381752]"	Phosphatidylinositol 3-kinase (pi3k) Inhibitor	"[Phosphatidylinositol 3-kinase (pi3k) Inhibitor, Pi3k Inhibitor, Serine/threonine-protein Kinase Mtor Inhibitor, Mtor, Frap1 Inhibitor]"	PIK3CA	"[Phase II, Phase I]"	"[COc1ccc(-c2cc3c(C)nc(N)nc3n([C@H]3CC[C@H](OCCO)CC3)c2=O)cn1, COc1ccc(-c2cc3c(C)nc(N)nc3n(C3CCC(OCCO)CC3)c2=O)cn1]"	1013101-36-4	1013101364	"760536, 800846"	"PF-04691502, PF-04691502"	"Clinical trial, NA"	"PK:PIK3, NA"	"pf-04691502|2-amino-8-((1r,4r)-4-(2-hydroxyethoxy)cyclohexyl)-6-(6-m...|kin0000829|PF-4691502, NA"	", "	"name, name"	"TRUE, TRUE"
PF-477736	2df551f3eef426d5095b1f9b0885fe14	PF-477736	[NCGC00263132]	Chk1 Inhibitor	"[Chk1 Inhibitor, Serine/threonine-protein Kinase Chk1 Inhibitor]"	CHEK1	"[Discontinued, Unknown, Phase I]"	"[Cn1cc(-c2[nH]c3cc(NC(=O)C(N)C4CCCCC4)cc4c(=O)[nH]ncc2c34)cn1, Cn1cc(-c2[nH]c3cc(NC(=O)[C@H](N)C4CCCCC4)cc4c(=O)[nH]ncc2c34)cn1.[Cl].[Cl].[Cl], Cn1cc(-c2nc3cc(NC(=O)C(N)C4CCCCC4)cc4c3-c2c[nH][nH]c4=O)cn1, Cn1cc(-c2[nH]c3cc(NC(=O)[C@H](N)C4CCCCC4)cc4c(=O)[nH]ncc2c34)cn1]"	952021-60-2	952021602	"800848, 763444"	"PF-477736, PF-477736"	"NA, Clinical trial"	"NA, PK:STK,CHEK,CHEK1"	"NA, pf-477736|(2r)-2-amino-2-cyclohexyl-n-(5-(1-methyl-1h-pyrazol-4-yl...|PF-00477736"	", "	"name, name"	"TRUE, TRUE"
PHA-793887	fdffbdde93d40036016da4c8af3457f2	PHA-793887	[NCGC00263168]	Cdk Inhibitor	"[Cdk Inhibitor, Cyclin-dependent Kinase 4/cyclin D Inhibitor, Cdk4/cyclin D1 Inhibitor, Cdk5/p25 Inhibitor, Cdk1/cyclin B Inhibitor, Cdk2/cyclin A Inhibitor, Cdk2/cyclin E Inhibitor, Cdk1,2,3,4,5 Inhibitor]"	CDK4	[Phase I]	[CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)C1CCN(C)CC1)C2(C)C]	718630-59-2	718630592	800851	PHA-793887	NA	NA	NA		name	FALSE
PORFIROMYCIN	cb120c79abe15da2192ddd60f15811ff	Porfiromycin	"[MLS000766209, NCGC00246835]"	Dna Alkylating Drugs	"[Dna Alkylating Drugs, Dna-damaging Drugs, Dna Damaging Drugs, Dna Crosslinking Agent]"	H2AFX	"[Phase III, Unknown]"	"[CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@H]1[C@@H]2N1C, COC12[C@H](COC(N)=O)C3=C(C(O)=C(C)C(=N)C3=O)N1C[C@H]1[C@@H]2N1C, COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1C2N1C]"		NA	56410	PORFIROMYCIN		A7	"methyl mitomycin c|ent-50825|n-methylmitomycin c|wln:  t d3 b556 bn en jv mvttt&j e1 go1 h1ovz kz l1|porfiromycin|porphyromycin|methylmitomycin|porfiromycine|mitomycin c, n-methyl-|azirino[2',3':3,4]pyrrolo[1,2-a]indole-4,7-dione,  6-ami...|porfiromycin(usan)"	801525	name	FALSE
PYROXAMIDE	1255009e8489f8114f84996f5be26b18	Pyroxamide	[NCGC00346891]	Hdac Inhibitor	"[Hdac Inhibitor, Histone Deacetylase (hdac) Inhibitor]"	HDAC1	"[Unknown, Phase I]"	[O=C(CCCCCCC(=O)Nc1cccnc1)NO]	382180-17-8	382180178	696085	PYROXAMIDE			"polar hybrid compound|n-hydroxy-n'-(3-pyridyl)-1,8-octanediamide|pyroxamide"		name	FALSE
R-406	7b53824003f392d24c2c13f07384fbfd	R-406	"[NCGC00182051, NCGC00601679]"	Tyrosine-protein Kinase Syk Inhibitor	"[Tyrosine-protein Kinase Syk Inhibitor, Syk Kinase Inhibitor, Interleukin-6 Production Inhibitor, Tnf-alpha Production Inhibitor, Receptor-type Tyrosine-protein Kinase Flt3 Inbitor, Interleukin-2 Production Inhibitor]"	SYK	"[Phase III, Phase II, Phase I]"	"[COc1cc(Nc2ncc(F)c(/N=c3\ccc4c([nH]3)N=C(O)C(C)(C)O4)n2)cc(OC)c1OC, COc1cc(Nc2ncc(F)c(Nc3ccc4c(n3)NC(=O)C(C)(C)O4)n2)cc(OC)c1OC]"	841290-81-1	841290811	800858	R-406	NA	NA	NA		name	FALSE
R428	d33b725a0edc1e9d8ccc2b5202b99548	R428	"[NCGC00386665, NCGC00389622]"	Tyrosine-protein Kinase Receptor Ufo Inhibitor	"[Tyrosine-protein Kinase Receptor Ufo Inhibitor, Axl Kinase Inhibitor]"	AXL	"[Phase II, Unknown]"	"[Nc1nc(Nc2ccc3c(c2)CC[C@@H](N2CCCC2)CC3)nn1-c1cc2c(nn1)-c1ccccc1CCC2, Nc1nc(Nc2ccc3c(c2)CCC(N2CCCC2)CC3)nn1-c1cc2c(nn1)-c1ccccc1CCC2]"	1037624-75-1	1037624751	824183	R-428	NA	NA	r-428|bgb324|bemcentinib|r428	1037624751	cas	FALSE
RGB-286638	943d6a5dbffbfce44e0eb82cccb0bca1	RGB-286638	[NCGC00390582]	Cyclin-dependent Kinase/cyclin Complex Inhibitor	"[Cyclin-dependent Kinase/cyclin Complex Inhibitor, Cdk/cyclin Complex Inhibitor]"	CDK1	[Phase I]	[COCCN1CCN(Cc2ccc(-c3n[nH]c4c3C(=O)c3c(NC(=O)NN5CCOCC5)cccc3-4)cc2)CC1]	784210-87-3	784210873	800866	RGB-286638	NA	NA	NA		name	FALSE
SAR-260301	4500f9b343b1c48e407c0969fd43fce7	Sar-260301	[NCGC00508867]	Pi3kbeta Inhibitor	"[Pi3kbeta Inhibitor, Phosphatidylinositol 3-kinase Beta Isoform Inhibitor]"	PIK3CB	"[Discontinued, Unknown]"	"[C[C@H]1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1, C[C@@H]1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1, CC1Cc2ccccc2N1C(=O)Cc1nc(N2CCOCC2)cc(=O)[nH]1, CC1Cc2ccccc2N1C(=O)Cc1nc(=O)cc(N2CCOCC2)[nH]1]"	1260612-13-2	1260612132	"780290, 780291"	"SAR-260301 (ENANTIOMER 1), SAR-260301 (ENANTIOMER 1)"	"Clinical trial, Clinical trial"	"PI3KB, PI3KB"	"enantiomer p1 of sar-260301|a-1301|;a-1301;enantiomer p1 of sar-260301|SAR-260301 (enantiomer 1)|SAR-260301 (enantiomer 2)|Enantiomer P2 of SAR-260301, a-1301|enantiomer p2 of sar-260301|;enantiomer p2 of sar-260301;a-1301|SAR-260301 (enantiomer 1)|SAR-260301 (enantiomer 2)"	", "	"synonym, synonym"	"TRUE, TRUE"
SB-1317	ba49b015b7fd24edc95e353d899094d6	SB-1317	[NCGC00378999]	Cdk Inhibitor	"[Cdk Inhibitor, Cyclin-dependent Kinase 9/cyclin T1 Inhibitor, Cyclin Dependent Kinase Inhibitor, Tyrosine-protein Kinase Jak2 Inhibitor, Mitogen-activated Protein Kinase 7 Inhibitor, Receptor-type Tyrosine-protein Kinase Flt3 Inhibitor]"	CDK1	"[Phase I/II, Phase I]"	[CN1C/C=C/CCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1]	937270-47-8	937270478	"762673, 800879"	"SB-1317, SB-1317"	"Clinical trial, NA"	"PK:STK,CDK,ERK,FLT,JAK,FLT3, NA"	"cs-0884|sb-1317|tg-02|20-oxa-5,7,14,27-tetraazatetra-cyclo[19.3.1.12,6.18,12]h...|TG-2, NA"	"1204918728, "	"name, name"	"TRUE, TRUE"
SELINEXOR	1b8618c87d04af863339a9a9c9f98bc0	Selinexor	"[NCGC00386310, NCGC00480894]"	Exportin-1 Blocker	"[Exportin-1 Blocker, Exportin-1 Antagonist]"	XPO1	[Phase III]	"[O=C(/C=C\n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1, O=C(/C=C/n1cnc(-c2cc(C(F)(F)F)cc(C(F)(F)F)c2)n1)NNc1cnccn1]"	1421923-86-5	1421923865	780203	SELINEXOR	Clinical trial	XPO1	kpt-330|selinexor|cs-2185	1393477729	name	FALSE
SEMAXANIB	dddaf75e543c5967204d02707acd81e5	Semaxanib	"[NCGC00094381, NCGC00261795, NCGC00015972, MLS001332519, MLS001332520, MLS001074896]"	Flt3 Inhibitor	"[Flt3 Inhibitor, Vascular Endothelial Growth Factor Receptor 2 Inhibitor, Receptor-type Tyrosine-protein Kinase Flt3 Inbitor, Hepatocyte Growth Factor Receptor Inhibitor]"	KDR	"[Phase III, Phase II, Unknown]"	"[Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1, Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1, Cc1cc(C)c(/C=C2/C(=O)Nc3ccccc32)[nH]1]"	194413-58-6	194413586	696819	SEMAXANIB			"2H-Indol-2-one, 3-[(3,5-dimethyl-2-pyrrolyl)methylene]-|Semaxanib"		name	FALSE
SGI-1776	45bbab4327879b9500c7bafff7ef23a7	SGI-1776	[NCGC00263186]	Serine/threonine-protein Kinase Pim-1 Inhibitor	"[Serine/threonine-protein Kinase Pim-1 Inhibitor, Pim-1/flt3 Inhibitor, Serine/threonine-protein Kinase Pim Inhibitor Inhibitor, Receptor-type Tyrosine-protein Kinase Flt3 Inbitor]"	PIM1	"[Discontinued, Unknown, Phase I]"	"[CN1CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1, CN1CCC(CNc2ccc3ncc(-c4cccc(OC(F)(F)F)c4)n3n2)CC1.O=S(=O)(O)O]"	1025065-69-3	1025065693	800883	SGI-1776	NA	NA	NA		name	FALSE
SONIDEGIB	56a30c3faede0378f0d68131d9200ed2	Sonidegib	"[NCGC00250382, NCGC00387854]"	Smoothened Receptor Antagonist	"[Smoothened Receptor Antagonist, Smo Receptor Antagonist]"	SMO	"[phase II, Unknown, Approved]"	"[Cc1c(C(=O)Nc2ccc(N3C[C@H](C)O[C@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1, Cc1c(C(=O)Nc2ccc(N3C[C@H](C)O[C@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1.O=P(O)(O)O.O=P(O)(O)O, Cc1c(C(=O)Nc2ccc(N3CC(C)OC(C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1]"	1218778-77-8	1218778778	761386	Sonidegib	FDA approved	SMO|Hg-Smo	"ct-lde225|sonidegib phospate|nvp-lde-225 (diphosphate salt)|a-1126|;nvd-lde225 (diphosphate salt);ct-lde225;cs-1175;lde225 ...|nvd-lde225 (diphosphate salt)|cs-1175|lde225 diphosphate|LDE-225|LDE-225, diphosphonate salt|d3582|N-[6-[(2R,6S)-2,6-Dimethyl-4-morphlinyl]-3-pyridinyl]-2-...|CT-LDE-225 (Diphosphate Salt)|sonidegib"	1218778778	cas	FALSE
SONOLISIB	3f32bf45c06da144a741b44ea3877a7f	Sonolisib	"[NCGC00387792, NCGC00390370, NCGC00388184]"	Phosphatidylinositol 3-kinase (pi3k) Inhibitor	"[Phosphatidylinositol 3-kinase (pi3k) Inhibitor, Na, Pi3k Inhibitor]"	PIK3CA	[Phase II]	"[C=CCN(/C=C1\C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)C(=O)CC[C@@H]12)CC=C, C=CCN(/C=C1\C(=O)OC(COC)C2(C)C1=C(O)C(=O)C1=C2C(OC(C)=O)CC2(C)C(=O)CCC12)CC=C, C=CCN(/C=C1\C(=O)O[C@@H](COC)[C@]2(C)C1=C(O)C(=O)C1=C2[C@@H](OC(C)=O)C[C@]2(C)C(=O)CC[C@H]12)CC=C, C=CCN(/C=C1/C(=O)O[C@H](COC)[C@@]2(C)C1=C(O)C(=O)C1=C2[C@H](OC(C)=O)C[C@]2(C)C(=O)CC[C@@H]12)CC=C]"	502632-66-8	502632668	"800933, 722134"	"SONOLISIB, SONOLISIB"	"NA, Clinical trial"	"NA, PK:PIK3"	"NA, px866|(bis-allyl)amino-wortmannin|px-866|sonolisib|Wortmannin Analog|DJM-166"	", 1351998838"	"name, name"	"TRUE, TRUE"
TAK-285	343be54a1a07ef4290f4935d2c06c06c	Tak-285	[NCGC00346699]	Egfr (her1; Erbb1) Inhibitor	"[Egfr (her1; Erbb1) Inhibitor, Epidermal Growth Factor Receptor Inhibitor, Egfr Inhibitor, Receptor Tyrosine-protein Kinase Erbb-2 Inhibitor]"	EGFR	"[Discontinued, Phase I]"	[CC(C)(O)CC(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(C(F)(F)F)c4)c(Cl)c3)c21]	871026-44-7	871026447	800938	TAK-285	NA	NA	NA		name	FALSE
TAK-593	475c6b4829fb611f5658bd1f0960dc82	TAK-593	[NCGC00485933]	Vascular Endothelial Growth Factor Receptor 2 Inhibitor	"[Vascular Endothelial Growth Factor Receptor 2 Inhibitor, Pdgfr Inhibitor, Platelet-derived Growth Factor Receptor Family Inhibitor, Vascular Endothelial Growth Factor Receptor 1 Inhibitor, Tyrosine Kinase Inhibitor]"	KDR	"[Discontinued, Phase I]"	[Cc1cc(C(=O)Nc2cc(Oc3ccc4nc(NC(=O)C5CC5)cn4n3)ccc2C)n(C)n1]	1005780-62-0	1005780620	800939	TAK-593	NA	NA	NA		name	FALSE
TAK-659	713b94c1109ec1da051f09143361e9af	TAK-659	[NCGC00510693]	Tyrosine-protein Kinase Syk Inhibitor	"[Tyrosine-protein Kinase Syk Inhibitor, Syk Kinase Inhibitor, Receptor-type Tyrosine-protein Kinase Flt3 Inbitor]"	SYK	"[Phase II, Unknown]"	[Cn1cc(-c2nc(N[C@@H]3CCCC[C@@H]3N)c(F)c3c2C(=O)NC3)cn1]	1952251-28-3	1952251283	"791967, 791968"	"TAK-659 (ISOMER 1), TAK-659 (ISOMER 1)"	"Clinical trial, Clinical trial"	"PK:SYK, PK:SYK"	"tak659 2hcl|tak-659 2hcl|TAK-659 (isomer 1)|TAK-659 (isomer 2), tak659|tak-659|TAK-659 (isomer 1)|TAK-659 (isomer 2)"	"1312691410, 1312691330"	"synonym, synonym"	"TRUE, TRUE"
TERAMEPROCOL	ba4e6ef5e07a247e7edfe3a2aca447d9	TERAMEPROCOL	"[NCGC00346832, NCGC00384872]"	Antimitotic Agent	"[Antimitotic Agent, Viral Tat (hiv) Inhibitor]"		"[Phase II, Unknown, Phase I]"	"[COc1ccc(CC(C)C(C)Cc2ccc(OC)c(OC)c2)cc1OC, COc1ccc(C[C@H](C)[C@H](C)Cc2ccc(OC)c(OC)c2)cc1OC]"	24150-24-1	24150241	136955	TERAMEPROCOL			"dimethyldihydroguaiaretic acid|tetra-o-methyl nordihydroguaiaretic acid|butane, 1,4-bis(3,4-dimethoxyphenyl)-2,3-dimethyl-|benzene, 1,1'-(2,3-dimethyl-1,4-butanediyl)bis[3,4-dimet...|1,4-bis(3,4-dimethoxyphentl)-2,3-dimethylbutane|Terameprocol"	5701826	name	FALSE
THZ1	ced02ac2b52feaee5863576092a73eec	THZ1	[NCGC00389590]	Cdk 7 Inhibitor	"[Cdk 7 Inhibitor, Cyclin-dependent Kinase 7 Inhibitor]"	CDK7	"[Preclinical, Unknown]"	[CN(C)C/C=C/C(=O)Nc1ccc(C(=O)Nc2cccc(Nc3ncc(Cl)c(-c4c[nH]c5ccccc45)n3)c2)cc1]	1604810-83-4	1604810834	825089	THZ-1	NA	NA	cs-3167|thz-1|thz1	1604810834	cas	FALSE
TOZASERTIB	d9fa2c2c82313413d7d5ffb3013cbb30	TOZASERTIB	"[NCGC00168110, MLS001065920]"	Aurora-a/b/c Kinase Inhibitor	"[Aurora-a/b/c Kinase Inhibitor, Aurora Kinase B Inhibitor, Bcr-abl (bcr-abl1) Kinase Inhibitor, Aurora Kinase A Inhibitor, Aurora Kinase C Inhibitor, Discoidin Domain-containing Receptor 2 Inhibitor, Receptor-type Tyrosine Protein Kinase Flt3 Inhibitor, Tyrosine-protein Kinase Jak2 Inhibitor, Abl1 Kinase Inhibitor]"	AURKB	"[Phase II, Discontinued, Unknown]"	"[C[C@H](O)C(=O)O.Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1, Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)[nH]n1, Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1]"	639089-54-6	639089546	800955	TOZASERTIB	NA	NA	NA		name	FALSE
TP-0903	42642821311c93faac3f9d9c5e36ce94	TP-0903	[NCGC00481577]	Aurora Kinase A Inhibitor	"[Aurora Kinase A Inhibitor, Axl Kinase Inhibitor, Aurora Kinase B Inhibitor, Tyrosine-protein Kinase Receptor Ufo Inhibitor]"	AXL	"[Unknown, Phase I]"	"[CN1CCN(Cc2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)N(C)C)n3)cc2)CC1, CN1CCN(Cc2ccc(Nc3ncc(Cl)/c(=N\c4ccccc4S(=O)(=O)N(C)C)[nH]3)cc2)CC1]"		NA	798200	TP-0903	Clinical trial	PK:AXL	tp0903|cs-4281|tp-0903	1341200450	name	FALSE
UMBRALISIB	9434e9c7aa57bb49a3355a227f985341	Umbralisib	"[NCGC00522500, NCGC00509910]"	Casein Kinase 1 Inhibitor	"[Casein Kinase 1 Inhibitor, Casein Kinase 1 Epsilon Inhibitor, Phosphatidylinositol 3-kinase Delta Isoform Inhibitor]"	CSNK1E	"[Phase III, Unknown]"	"[CC(C)Oc1ccc(-c2nn([C@H](C)c3oc4ccc(F)cc4c(=O)c3-c3cccc(F)c3)c3ncnc(N)c23)cc1F, CC(C)Oc1ccc(-c2nn(C(C)c3oc4ccc(F)cc4c(=O)c3-c3cccc(F)c3)c3ncnc(N)c23)cc1F, CC(C)Oc1ccc(-c2nn([C@@H](C)c3oc4ccc(F)cc4c(=O)c3-c3cccc(F)c3)c3ncnc(N)c23)cc1F, CC(C)Oc1ccc(-c2nn([C@@H](C)c3oc4ccc(F)cc4c(=O)c3-c3cccc(F)c3)c3ncnc(N)c23)cc1F.Cc1ccc(S(=O)(=O)O)cc1]"	1532533-69-9	1532533699	800405	UMBRALISIB	Clinical trial		cs-5243|tgr1202|tgr-1202|umbralisib	1532533677	name	FALSE
XANTHATIN	81366c8cdcb9e236c32df2e5d7478a5c	Xanthatin	"[NCGC00531743, NCGC00522633]"	Nf-kappab Activation Inhibitor	"[Nf-kappab Activation Inhibitor, Nf-kappab (nfkb) Activation Inhibitor, Prostaglandin G/h Synthase 2 Expression Inhibitor, Nitric Oxide Production Inhibitor]"	NFKB1	"[Preclinical, Unknown]"	"[C=C1C(=O)O[C@H]2C[C@H](C)C(/C=C/C(C)=O)=CC[C@H]12, C=C1C(=O)O[C@@H]2C[C@H](C)C(/C=C/C(C)=O)=CC[C@H]12, C=C1C(=O)OC2CC(C)C(/C=C/C(C)=O)=CCC12, C=C1C(=O)O[C@H]2C[C@H](C)C(/C=C/C(C)=O)=CC[C@@H]12]"	26791-73-1	26791731	136704	XANTHATIN			xanthatin		name	FALSE
Y-27632	5885dadd2fb5b5ac0dbf148d910a6e17	Y-27632	"[NCGC00261018, NCGC00387412, NCGC00381705, NCGC00016104, NCGC00389322, NCGC00093773, NCGC00092276]"	"Rock 1, Rock 2 Inhibitor"	"[Rock 1, Rock 2 Inhibitor, Rho-associated Protein Kinase 1 Inhibitor, Calcium Sensitizers, Leucine-rich Repeat Kinase 2 Inhibitor, Rho-associated Protein Kinase 2 Inhibitor]"	ROCK1	"[Preclinical, Unknown]"	"[C[C@@H](N)[C@H]1CC[C@H](C(=O)Nc2ccncc2)CC1, C[C@H](N)C1CCC(C(=O)Nc2ccncc2)CC1, C[C@@H](N)C1CCC(C(=O)Nc2ccncc2)CC1.Cl.Cl, C[C@@H](N)C1CCC(C(=O)Nc2ccncc2)CC1, CC(N)C1CCC(C(=O)Nc2ccncc2)CC1, C[C@H](N)C1CCC(C(=O)Nc2ccncc2)CC1.Cl.Cl, C[C@@H](N)[C@H]1CC[C@H](C(=O)Nc2ccncc2)CC1.Cl.Cl]"	146986-50-7	146986507	751297	Y-27632	Clinical trial	RHO	y27632 dihydrochloride|a-1931|y1021|y-27632 dihydrochloride|y-27632	129830382	name	FALSE
ZANUBRUTINIB	398346556f14ce9a7de4df5feb33d508	Zanubrutinib	"[NCGC00510501, NCGC00686202]"	Tyrosine-protein Kinase Btk Inhibitor	"[Tyrosine-protein Kinase Btk Inhibitor, Btk Inhibitor]"	BTK	"[Phase III, Unknown]"	"[C=CC(=O)N1CCC([C@@H]2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1, C=CC(=O)N1CCC(C2CCNc3c(C(N)=O)c(-c4ccc(Oc5ccccc5)cc4)nn32)CC1]"	1691249-45-2	1691249452	823807	Zanubrutinib	NA	NA	zanubrutinib|bgb3111|cs-0021869|bgb-3111	1691249452	cas	FALSE
