pert_iname,clinical_phase,moa,target,disease_area,indication,matching_in_cellminercdb,kw_matching,
PTC-209,Preclinical,BMI-1 inhibitor,,,,FALSE,,
pterostilbene,Phase 2/Phase 3,cyclooxygenase inhibitor|PPAR receptor agonist,PTGS2,,,FALSE,,
PU-H71,Phase 1,HSP inhibitor,HSP90AA1,,,FALSE,,
puromycin,Preclinical,protein synthesis inhibitor,NHP2L1|RPL10L|RPL11|RPL13A|RPL15|RPL19|RPL23|RPL23A|RPL26L1|RPL3|RPL37|RPL8|RSL24D1,,,FALSE,,
pyrithione-zinc,Launched,ATP synthase inhibitor,KCNQ1|KCNQ2|KCNQ4|KCNQ5,dermatology,dandruff|cosmetic,FALSE,,
pyritinol,Launched,,,rheumatology|neurology/psychiatry,rheumatoid arthritis|senile dementia,FALSE,,
quinethazone,Launched,thiazide diuretic,,cardiology,hypertension,FALSE,,
R306465,Phase 1,HDAC inhibitor,,,,FALSE,,
raclopride,Launched,dopamine receptor antagonist,DRD2|DRD3|HTR1A,,,FALSE,,
radezolid,Phase 2,bacterial 30S ribosomal subunit inhibitor|bacterial 50S ribosomal subunit inhibitor,,,,FALSE,,
ramifenazone,Launched,cyclooxygenase inhibitor,,neurology/psychiatry|endocrinology,pain relief|fever,FALSE,,
remoxipride,Withdrawn,dopamine receptor antagonist,DRD2|DRD3|DRD4|HTR2A|SIGMAR1,,,FALSE,,
RG2833,Phase 1,HDAC inhibitor,HDAC1|HDAC3,,,FALSE,,
RGFP966,Preclinical,HDAC inhibitor,HDAC3,,,FALSE,,
RI-1,Preclinical,,RAD51,,,FALSE,,
rimexolone,Launched,glucocorticoid receptor agonist,NR3C1|SERPINA6,ophthalmology,anterior uveitis,FALSE,,
RN-1734,Preclinical,TRPV antagonist,TRPV4,,,FALSE,,
Ro-04-5595,Preclinical,glutamate receptor antagonist,GRIN2B,,,FALSE,,
Ro-10-5824,Preclinical,dopamine receptor agonist,DRD4,,,FALSE,,
Ro-106-9920,Preclinical,NFkB pathway inhibitor,,,,FALSE,,
Ro-90-7501,Preclinical,beta amyloid protein neurotoxicity inhibitor,APP,,,FALSE,,
Ro-9187,Preclinical,HCV inhibitor,,,,FALSE,,
RS-16566,Preclinical,serotonin receptor antagonist,,,,FALSE,,
RS-17053,Preclinical,adrenergic receptor antagonist,ADRA1A|ADRA1D,,,FALSE,,
RS-504393,Preclinical,CC chemokine receptor antagonist,CCL2|CCR2,,,FALSE,,
RS-67506,Preclinical,serotonin receptor partial agonist,HTR4,,,FALSE,,
RU-58841,Phase 2,androgen receptor antagonist,AR,,,FALSE,,
rubitecan,Phase 3,topoisomerase inhibitor,TOP1,,,FALSE,,
rucinol,Phase 1,tyrosinase inhibitor,TYR,,,FALSE,,
rutin,Launched,antioxidant|capillary stabilizing agent|nitric oxide scavenger,AKR1C3,rheumatology|otolaryngology|gastroenterology|neurology/psychiatry|allergy,joint pain|nasal congestion|constipation|irritability|allergic rhinitis,FALSE,,
ryuvidine,Preclinical,histone lysine methyltransferase inhibitor,CDK2|CDK4,,,FALSE,,
S26948,Preclinical,PPAR receptor agonist,PPARG,,,FALSE,,
salvianolic-acid-B,Phase 2,EGFR inhibitor|metalloproteinase inhibitor,MMP9,,,FALSE,,
salvinorin-A,Phase 1,opioid receptor agonist,OPRD1|OPRK1|OPRM1,,,FALSE,,
sangivamycin,Phase 1,DNA inhibitor,,,,FALSE,,
satraplatin,Phase 3,DNA alkylating agent,,,,FALSE,,
SB-200646,Preclinical,serotonin receptor antagonist,HTR2B|HTR2C,,,FALSE,,
SB-205384,Preclinical,GABA receptor modulator,GABRA3|GABRA5|GABRA6,,,FALSE,,
SB-216641,Preclinical,serotonin receptor antagonist,HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C,,,FALSE,,
SB-218078,Preclinical,CHK inhibitor,CHEK1,,,FALSE,,
SB-218795,Preclinical,tachykinin antagonist,TACR3,,,FALSE,,
SB-225002,Preclinical,CC chemokine receptor antagonist,CXCR2,,,FALSE,,
SB-228357,Preclinical,serotonin receptor antagonist,HTR2A|HTR2B|HTR2C,,,FALSE,,
SB-2343,Phase 1,mTOR inhibitor|PI3K inhibitor,MTOR|PIK3CA|PIK3CB|PIK3CD|PIK3CG,,,FALSE,,
SB-366791,Preclinical,TRPV antagonist,TRPV1,,,FALSE,,
SB-657510,Preclinical,urotensin receptor antagonist,UTS2R,,,FALSE,,
SC-144,Preclinical,P glycoprotein inhibitor,,,,FALSE,,
SCH-58261,Preclinical,adenosine receptor antagonist,ADORA1|ADORA2A|ADORA2B|ADORA3,,,FALSE,,
scriptaid,Preclinical,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC4|HDAC5|HDAC6|HDAC7|HDAC8|HDAC9,,,FALSE,,
SCS,Preclinical,,,,,FALSE,,
SDZ-WAG-994,Phase 2,adenosine receptor agonist,ADORA1,,,FALSE,,
securinine,Preclinical,GABA receptor antagonist|TP53 activator,GABRA1,,,FALSE,,
selamectin,Launched,nematocide,,infectious disease,flea control,FALSE,,
Se-methylselenocysteine,Phase 2,,,,,FALSE,,
sertindole,Withdrawn,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|DRD2|DRD3|DRD4|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2C|HTR6|KCNH2,,,FALSE,,
sevoflurane,Launched,membrane integrity inhibitor,ATP2C1|ATP5D|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GLRA1|GLRB|GRIA1|KCNA1|KCNK10|KCNK18|KCNK2|KCNK3|KCNK9|MT-ND1,neurology/psychiatry,anesthetic,FALSE,,
SGI-1027,Preclinical,DNA methyltransferase inhibitor,DNMT1|DNMT3A|DNMT3B,,,FALSE,,
SIB-1757,Preclinical,glutamate receptor antagonist,GRM5,,,FALSE,,
skepinone-L,Preclinical,p38 MAPK inhibitor,MAPK14,,,FALSE,,
SKF-96365,Preclinical,calcium channel blocker,CYP3A4|PKD2|TRPC1|TRPC3|TRPC4|TRPC5|TRPV2,,,FALSE,,
S-methylcysteine,Phase 1,,CTSD|MGMT,,,FALSE,,
sobetirome,Phase 1/Phase 2,thyroid hormone receptor agonist,THRA|THRB,,,FALSE,,
sodium-stibogluconate,Launched,tyrosine phosphatase inhibitor,PTPN6,infectious disease,leishmaniasis,FALSE,,
sodium-tanshinone-II-A-sulfonate,Phase 2,potassium channel activator,,,,FALSE,,
spermine,Preclinical,,CA14|CA4|CA6|CA9|CASR|GRIN1|GRIN2A|KCNJ4|ODC1|SMOX|SMS|TRPM4|TRPM5,,,FALSE,,
spiradoline,Phase 2,opioid receptor agonist,OPRK1,,,FALSE,,
spironolactone,Launched,mineralocorticoid receptor antagonist,AR|CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1G|CACNA1H|CACNA1I|CACNA1S|CACNA2D1|CACNA2D2|CACNA2D3|CACNB1|CACNB2|CACNB3|CACNB4|CACNG1|CYP11B2|NR3C1|NR3C2|PGR|SHBG,endocrinology|cardiology|gastroenterology|rheumatology,hyperaldosteronism|congestive heart failure|hepatic cirrhosis|nephrotic syndrome|hypertension|hypokalemia,FALSE,,
SR-27897,Phase 2,CCK receptor antagonist,CCKAR,,,FALSE,,
SR-33805,Phase 1,calcium channel blocker,,,,FALSE,,
SR-57227A,Phase 2,serotonin receptor agonist,HTR3A,,,FALSE,,
stattic,Preclinical,,,,,FALSE,,
SU014813,Phase 2,PDGFR tyrosine kinase receptor inhibitor|VEGFR inhibitor,KDR,,,FALSE,,
SU3327,Preclinical,JNK inhibitor,MAPK8,,,FALSE,,
sulconazole,Launched,sterol demethylase inhibitor,,infectious disease,tinea pedis|tinea cruris|tinea corporis,FALSE,,
sulfabenzamide,Launched,bacterial antifolate,,infectious disease,gram-negative bacterial infections|gram-positive bacterial infections,FALSE,,
sulfamethazine,Launched,PABA antagonist,,gastroenterology,enteritis,FALSE,,
sulmazole,Phase 1,adenosine receptor antagonist,,,,FALSE,,
suxibuzone,Launched,cyclooxygenase inhibitor,,rheumatology|neurology/psychiatry,joint pain|muscle pain,FALSE,,
tacalcitol,Launched,vitamin D receptor agonist,VDR,dermatology,psoriasis|chapped lips,FALSE,,
tagatose,Launched,phosphorylase inhibitor,PYGL,,,FALSE,,
TAK-632,Preclinical,RAF inhibitor,BRAF,,,FALSE,,
taltobulin,Phase 1,tubulin polymerization inhibitor,,,,FALSE,,
tanaproget,Phase 2,progesterone receptor agonist,PGR,,,FALSE,,
TAS-103,Phase 1,topoisomerase inhibitor,TOP1,,,FALSE,,
tasisulam,Phase 3,apoptosis stimulant,,,,FALSE,,
TC1,Preclinical,beta-secretase inhibitor,BACE1,,,FALSE,,
tecastemizole,Phase 3,histamine receptor antagonist,KCNH2,,,FALSE,,
tedizolid,Launched,bacterial 50S ribosomal subunit inhibitor,,infectious disease,skin infections,FALSE,,
tedizolid-phosphate,Launched,protein synthesis inhibitor,,infectious disease,skin infections,FALSE,,
temoporfin,Launched,radical formation stimulant,,oncology,head and neck squamous cell carcinoma (HNSCC),FALSE,,
tenovin-6,Preclinical,SIRT inhibitor,SIRT1|SIRT2|SIRT3,,,FALSE,,
tepoxalin,Launched,cyclooxygenase inhibitor|lipoxygenase inhibitor,ALOX5,rheumatology|orthopedics,rheumatoid arthritis|hip dysplasia,FALSE,,
teprenone,Launched,mucus protecting agent,,dermatology,cosmetic,FALSE,,
terbutaline,Launched,adrenergic receptor agonist,ADRB2,pulmonary,bronchospasm|bronchitis|emphysema,FALSE,,
terconazole,Launched,sterol demethylase inhibitor,,infectious disease,vulvovaginal candidiasis,FALSE,,
teroxirone,Phase 1,DNA inhibitor,,,,FALSE,,
tetramethylthiuram-monosulfide,Preclinical,,,,,FALSE,,
tezacaftor,Launched,CFTR channel agonist,,pulmonary,cystic fibrosis,FALSE,,
TG-100572,Preclinical,SRC inhibitor|VEGFR inhibitor,KDR|SRC,,,FALSE,,
TG-100713,Preclinical,PI3K inhibitor,,,,FALSE,,
TH-302,Phase 3,DNA alkylating agent,,,,FALSE,,
thiamine,Launched,vitamin B,SLC19A2|SLC19A3|TPK1,metabolism,thiamine deficiency,FALSE,,
thiocolchicoside,Launched,GABA receptor antagonist,GABRA1|GABRB2|GABRG2|GLRA1|GLRB,neurology/psychiatry,muscle relaxant,FALSE,,
thiomersal,Launched,other antibiotic,OXCT1,infectious disease,preservative,FALSE,,
thioproperazine,Launched,dopamine receptor antagonist,ADRA1A|ADRA1B|DRD1|DRD2|HTR1A|HTR2A,neurology/psychiatry,schizophrenia,FALSE,,
thiostrepton,Launched,FOXM1 inhibitor|protein synthesis inhibitor,FOXM1,obstetrics/gynecology,mastitis,FALSE,,
thiram,Launched,,JAK2,ophthalmology,contact dermatitis,FALSE,,
thonzonium,Launched,ATPase inhibitor,,infectious disease,ear infections,FALSE,,
tilmicosin,Launched,bacterial 50S ribosomal subunit inhibitor,,pulmonary,bovine respiratory disease (BRD),FALSE,,
tiludronate,Launched,bone resorption inhibitor|osteoclast inhibitor,ATP6V1A|MMP2|PTPN1,orthopedics,navicular syndrome,FALSE,,
tiotidine,Phase 2,histamine receptor antagonist,HRH2,,,FALSE,,
tipranavir,Launched,HIV protease inhibitor,,infectious disease,human immunodeficiency virus (HIV-1),FALSE,,
TMC-353121,Phase 2,RSV fusion inhibitor,,,,FALSE,,
TMS,Preclinical,,,,,FALSE,,
tofogliflozin,Launched,sodium/glucose cotransporter inhibitor,GCK,endocrinology,diabetes mellitus,FALSE,,
trans-4-hydroxycrotonic-acid,Preclinical,gamma hydroxybutyric acid ligand,,,,FALSE,,
trapidil,Launched,PDGFR tyrosine kinase receptor inhibitor,PDGFRA,cardiology,coronary artery disease (CAD),FALSE,,
tremorine,Preclinical,acetylcholine receptor agonist,,,,FALSE,,
trequinsin,Phase 1,phosphodiesterase inhibitor,PDE5A,,,FALSE,,
triamterene,Launched,sodium channel blocker,SCNN1A|SCNN1B|SCNN1D|SCNN1G,endocrinology|cardiology,hypokalemia|hypertension|edema,FALSE,,
triclabendazole,Launched,microtubule inhibitor,DNMT1,infectious disease,tapeworm,FALSE,,
trimebutine,Launched,opioid receptor agonist,OPRD1|OPRK1|OPRM1,gastroenterology,irritable bowel syndrome,FALSE,,
trolox,Launched,antioxidant,,,,FALSE,,
trometamol,Launched,,AMD1|CANT1|DCN|NEIL1|VEGFA,,,FALSE,,
trovafloxacin,Withdrawn,bacterial DNA gyrase inhibitor,TOP2A,,,FALSE,,
tryptanthrin,Preclinical,cyclooxygenase inhibitor,IDO1,,,FALSE,,
TU-2100,Phase 2,,,,,FALSE,,
tyrphostin-A9,Preclinical,protein tyrosine kinase inhibitor|tyrosine kinase inhibitor,,,,FALSE,,
tyrphostin-AG-1296,Preclinical,FLT3 inhibitor,FLT3,,,FALSE,,
tyrphostin-AG-494,Preclinical,EGFR inhibitor,EGFR,,,FALSE,,
tyrphostin-AG-99,Preclinical,tyrosine kinase inhibitor,EGFR,,,FALSE,,
U-18666A,Preclinical,oxidosqualene cyclase inhibitor,,,,FALSE,,
UH-232-(+),Preclinical,dopamine receptor antagonist,DRD2|DRD3|DRD4|HTR1A,,,FALSE,,
ulipristal,Launched,progesterone receptor antagonist,PGR,endocrinology,contraceptive,FALSE,,
uric-acid,Phase 3,,PYGL,,,FALSE,,
valnemulin,Launched,bacterial 50S ribosomal subunit inhibitor,,infectious disease|gastroenterology,dysentry|colitis|pneumonia,FALSE,,
VER-49009,Preclinical,HSP inhibitor,HSP90AA1,,,FALSE,,
vincamine,Withdrawn,adrenergic receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4,,,FALSE,,
VLX600,Phase 1,antitumor agent|ubiquitin C-terminal hydrolase inhibitor,TP53|USP14,,,FALSE,,
VTP-27999,Phase 1,renin inhibitor,REN,,,FALSE,,
VU0238429,Preclinical,acetylcholine receptor allosteric modulator,CHRM5,,,FALSE,,
VU0361737,Preclinical,glutamate receptor positive allosteric modulator,GRM4,,,FALSE,,
VU0364770,Preclinical,glutamate receptor positive allosteric modulator,GRM4,,,FALSE,,
WAY-170523,Preclinical,metalloproteinase inhibitor,MMP13,,,FALSE,,
WP1130,Preclinical,deubiquitinase inhibitor,JAK2|UCHL5|USP14|USP9X,,,FALSE,,
xanomeline,Phase 3,acetylcholine receptor agonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR6|HTR7,,,FALSE,,
XBD173,Phase 2,benzodiazepine receptor ligand,TSPO,,,FALSE,,
xilobam,Phase 1,,,,,FALSE,,
xylazine,Launched,adrenergic receptor agonist,ADRA2A|ADRA2B|ADRA2C,neurology/psychiatry,anesthetic,FALSE,,
YM-976,Phase 1,phosphodiesterase inhibitor,PDE4A,,,FALSE,,
zardaverine,Phase 2,phosphodiesterase inhibitor,PDE4D,,,FALSE,,
ZK-93423,Phase 3,benzodiazepine receptor agonist,GABRA1|GABRA2|GABRA3|GABRA5|GABRB2|GABRG2,,,FALSE,,
ZK-93426,Phase 1,benzodiazepine receptor antagonist,GABRA1|GABRA2|GABRA3|GABRA5,,,FALSE,,
ZLN005,Preclinical,,,,,FALSE,,
ZM-306416,Preclinical,Abl kinase inhibitor|SRC inhibitor|VEGFR inhibitor,EGFR|FLT1|FLT4|KDR,,,FALSE,,
zolantidine,Preclinical,histamine receptor antagonist,,,,FALSE,,
betamethasone,Launched,glucocorticoid receptor agonist,NR3C1,dermatology,corticosteroid-responsive dermatoses,TRUE,,
XL888,Phase 1,HSP inhibitor,,,,TRUE,,
metoprolol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2,cardiology,hypertension|angina pectoris|myocardial infarction,TRUE,,
methscopolamine,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3,gastroenterology,peptic ulcer disease (PUD),TRUE,,
terfenadine,Withdrawn,histamine receptor antagonist,HRH1|KCNH1|KCNH2,,,TRUE,,
diclazuril,Launched,antiprotozoal agent,,infectious disease,equine protozoal myeloencephalitis (EPM),TRUE,,
monensin,Launched,bacterial permeability inducer,,infectious disease,gastrointestinal parasites,TRUE,,
galeterone,Phase 3,androgen receptor modulator,AR|CYP17A1,,,TRUE,,
racecadotril,Launched,enkephalinase inhibitor,MME,gastroenterology,diarrhea,TRUE,,
cyclophosphamide,Launched,DNA alkylating agent,CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP3A4|CYP3A5|CYP3A7,hematologic malignancy|oncology,Hodgkin's lymphoma|small lymphocytic lymphoma (SLL)|breast cancer|neuroblastoma|Burkitt's lymphoma|multiple myeloma|chronic lymphocytic leukemia (CLL)|acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL)|chronic myeloid leukemia (CML)|true histiocytic lymphoma (THL)|retinoblastoma|ovarian cancer,TRUE,,
GSK429286A,Preclinical,rho associated kinase inhibitor,ROCK1,,,TRUE,,
carvedilol,Launched,adrenergic receptor antagonist,ADRB1|ADRB2|ADRB3,cardiology,myocardial infarction|hypertension,TRUE,,
proscillaridin-A,Launched,,,cardiology,congestive heart failure|cardiac arrythmia,TRUE,,
nutlin-3,Preclinical,MDM inhibitor,MDM2|TP53,,,TRUE,,
pomalidomide,Launched,angiogenesis inhibitor|tumor necrosis factor production inhibitor,,hematologic malignancy,multiple myeloma,TRUE,,
ornithine,Launched,NFkB pathway modulator,GPRC6A,,,TRUE,,
norgestrel,Launched,progesterone receptor agonist,AR|ESR1|PGR|SRD5A1,endocrinology,contraceptive,TRUE,,
lenalidomide,Launched,anticancer agent,TNF,hematologic malignancy,multiple myeloma|mantle cell lymphoma (MCL)|myelodysplastic diseases (MDS),TRUE,,
itraconazole,Launched,cytochrome P450 inhibitor,,infectious disease,onychomycosis|histoplasmosis|blastomycosis|aspergillosis,TRUE,,
pheniramine,Launched,histamine receptor antagonist,HRH1,allergy,allergic rhinitis|urticaria,TRUE,,
sclareol,Preclinical,,,,,TRUE,,
warfarin,Launched,vitamin K antagonist,VKORC1,hematology|cardiology,deep vein thrombosis (DVT)|pulmonary embolism (PE)|atrial fibrillation (AF)|myocardial infarction,TRUE,,
erastin,Preclinical,ion channel antagonist,VDAC2,,,TRUE,,
aminoglutethimide,Launched,glucocorticoid receptor antagonist,CYP11A1|CYP19A1,endocrinology|oncology,Cushing's syndrome|breast cancer,TRUE,,
KI-16425,Preclinical,lysophosphatidic acid receptor antagonist,LPAR1|LPAR3,,,TRUE,,
emetine,Phase 2,protein synthesis inhibitor,RPS2,,,TRUE,,
zaldaride,Phase 3,calmodulin antagonist,CALM1,,,TRUE,,
formestane,Launched,aromatase inhibitor,CYP19A1,oncology,breast cancer,TRUE,,
lestaurtinib,Phase 3,FLT3 inhibitor|growth factor receptor inhibitor|JAK inhibitor,FLT3|NTRK1,,,TRUE,,
prednisolone,Launched,glucocorticoid receptor agonist,NR3C1|NR3C2|SERPINA6,ophthalmology|dermatology|infectious disease,conjunctivitis|rosacea|punctate keratitis|shingles|iritis|cyclitis,TRUE,,
salinomycin,Launched,,,infectious disease,coccidiosis,TRUE,,
bicalutamide,Launched,androgen receptor antagonist,AR,oncology,prostate cancer,TRUE,,
methocarbamol,Launched,muscle relaxant,CA1,neurology/psychiatry,muscle relaxant,TRUE,,
teniposide,Launched,topoisomerase inhibitor,TOP2A|TOP2B,hematologic malignancy,acute lymphoblastic leukemia (ALL),TRUE,,
bruceantin,Phase 2,protein synthesis inhibitor,,,,TRUE,,
oprozomib,Phase 1/Phase 2,proteasome inhibitor,,,,TRUE,,
ketoconazole,Launched,sterol demethylase inhibitor,KCNA10,dermatology,seborrheic dermatitis,TRUE,,
rabeprazole,Launched,ATPase inhibitor|gastrin inhibitor,ATP4A,gastroenterology,gastroesophageal reflux disease (GERD)|duodenal ulcer disease|Zollinger-Ellison syndrome,TRUE,,
teriflunomide,Launched,dihydroorotate dehydrogenase inhibitor,DHODH,neurology/psychiatry,multiple sclerosis,TRUE,,
WYE-125132,Preclinical,mTOR inhibitor,MTOR,,,TRUE,,
methacycline,Preclinical,protein synthesis inhibitor,,pulmonary,bronchitis,TRUE,,
ciprofibrate,Launched,PPAR receptor agonist,PPARA,endocrinology,hyperlipidemia,TRUE,,
meclizine,Launched,constitutive androstane receptor (CAR) agonist,NR1I3,gastroenterology|neurology/psychiatry,nausea|vomiting|motion sickness,TRUE,,
palomid-529,Phase 1,AKT inhibitor|mTOR inhibitor,MTOR,,,TRUE,,
halofantrine,Launched,antimalarial agent,KCNN4,infectious disease,malaria,TRUE,,
methotrexate,Launched,dihydrofolate reductase inhibitor,DHFR,oncology|hematologic malignancy|dermatology|rheumatology,gestational choriocarcinoma|hydatidiform mole|acute lymphoblastic leukemia (ALL)|psoriasis|rheumatoid arthritis,TRUE,,
omeprazole,Launched,ATPase inhibitor,ATP4A|CLCN2,gastroenterology,heartburn,TRUE,,
piroxicam,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology,osteoarthritis|rheumatoid arthritis,TRUE,,
PD-318088,Preclinical,MEK inhibitor,,,,TRUE,,
oxymatrine,Launched,,,,,TRUE,,
amisulpride,Launched,dopamine receptor antagonist,DRD2,neurology/psychiatry,psychosis|bipolar disorder|schizophrenia,TRUE,,
ifosfamide,Launched,DNA alkylating agent,CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP3A4|CYP3A5|CYP3A7|PTGS1,oncology|urology,testicular carcinoma|hemorrhagic cystitis,TRUE,,
lafutidine,Launched,histamine receptor antagonist,HRH2,gastroenterology,duodenal ulcer disease|peptic ulcer disease (PUD),TRUE,,
evodiamine,Preclinical,ATPase inhibitor|TRPV agonist,TRPV1,,,TRUE,,
echinomycin,Phase 2,DNA intercalating agent,,,,TRUE,,
minocycline,Launched,bacterial 30S ribosomal subunit inhibitor,,endocrinology|infectious disease|ophthalmology|urology,fever|respiratory tract infections|psittacosis|trachoma|conjunctivitis|urethritis|chancroid|tularemia|cholera|brucellosis,TRUE,,
secnidazole,Launched,acetylcholinesterase inhibitor|microtubule inhibitor,,infectious disease,protozoan infection,TRUE,,
estramustine,Launched,DNA alkylating agent,ESR1|ESR2|MAP1A|MAP2,oncology,prostate cancer,TRUE,,
nanchangmycin,Preclinical,other antibiotic,,,,TRUE,,
ibutilide,Launched,potassium channel blocker,CACNA1C|KCNH2,cardiology,atrial fibrillation (AF),TRUE,,
pralatrexate,Launched,dihydrofolate reductase inhibitor,DHFR,hematologic malignancy,peripheral T-cell lymphoma (PTCL),TRUE,,
lomefloxacin,Launched,bacterial DNA gyrase inhibitor,,infectious disease,respiratory tract infections|urinary tract infections,TRUE,,
leucovorin,Launched,folate receptor ligand,,oncology,osteosarcoma,TRUE,,
bafetinib,Phase 2,Bcr-Abl kinase inhibitor|LYN tyrosine kinase inhibitor,ABL1|BCR|LYN,,,TRUE,,
NSC-23766,Preclinical,Ras GTPase inhibitor,,,,TRUE,,
fenoprofen,Launched,prostaglandin inhibitor,PTGS1|SLC5A8,rheumatology,rheumatoid arthritis|osteoarthritis,TRUE,,
BI-D1870,Preclinical,ribosomal protein inhibitor,RPS6KA1|RPS6KA2|RPS6KA3|RPS6KA6,,,TRUE,,
saxagliptin,Launched,dipeptidyl peptidase inhibitor,DPP4,endocrinology,diabetes mellitus,TRUE,,
meloxicam,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology,osteoarthritis|rheumatoid arthritis,TRUE,,
fulvestrant,Launched,estrogen receptor antagonist,ESR1|ESR2|GPER1,oncology,breast cancer,TRUE,,
tetrahydrouridine,Phase 2,cytidine deaminase inhibitor,CDA,,,TRUE,,
tetrahydropapaverine,Preclinical,,,,,TRUE,,
digoxin,Launched,ATPase inhibitor,ATP1A1,cardiology,congestive heart failure|atrial fibrillation (AF),TRUE,,
ketoprofen,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2|SLC5A8,rheumatology,rheumatoid arthritis|osteoarthritis,TRUE,,
colchicine,Launched,microtubule inhibitor,GLRA1|GLRA2|TUBA1A|TUBA1B|TUBA1C|TUBA3C|TUBA3D|TUBA3E|TUBA4A|TUBB|TUBB1|TUBB2A|TUBB2B|TUBB3|TUBB4A|TUBB4B|TUBB6|TUBB8,rheumatology|endocrinology,gout|fever,TRUE,,
RITA,Preclinical,MDM inhibitor,MDM2,,,TRUE,,
AG-14361,Preclinical,PARP inhibitor,PARP1,,,TRUE,,
famotidine,Launched,histamine receptor antagonist,HRH2,gastroenterology,heartburn,TRUE,,
nitisinone,Launched,hydroxyphenylpyruvate dioxygenase inhibitor,,metabolism,tyrosinemia,TRUE,,
rifampin,Launched,RNA polymerase inhibitor,NR1I2|SLCO1A2|SLCO1B1|SLCO1B3,infectious disease,tuberculosis|meningitis,TRUE,,
dihydromyricetin,Preclinical,,,,,TRUE,,
triapine,Phase 2,ribonucleotide reductase inhibitor,RRM1|RRM2,,,TRUE,,
TAK-901,Phase 1,Aurora kinase inhibitor,AURKB,,,TRUE,,
UNC2250,Preclinical,MER tyrosine kinase inhibitor,MERTK,,,TRUE,,
olaparib,Launched,PARP inhibitor,PARP1|PARP2,oncology,ovarian cancer,TRUE,,
panobinostat,Launched,HDAC inhibitor,HDAC1|HDAC2|HDAC3|HDAC4|HDAC6|HDAC7|HDAC8|HDAC9,hematologic malignancy,multiple myeloma,TRUE,,
CHIR-124,Preclinical,CHK inhibitor,CHEK1,,,TRUE,,
parbendazole,Preclinical,tubulin polymerization inhibitor,TUBB,,,TRUE,,
sulfanilamide,Launched,carbonic anhydrase inhibitor,CYP2C19|CYP2C9|CYP2D6|CYP2E1|CYP3A4,infectious disease,vulvovaginal candidiasis,TRUE,,
PF-477736,Phase 1,CHK inhibitor,CHEK1|CHEK2,,,TRUE,,
NSC-663284,Preclinical,CDC inhibitor,CDC25A|CDC25B|CDC25C,,,TRUE,,
trifluridine,Launched,DNA directed DNA polymerase inhibitor|thymidylate synthase inhibitor,TYMS,infectious disease,virus herpes simplex (HSV),TRUE,,
NU-6027,Preclinical,CDK inhibitor,CCNA2|CDK2,,,TRUE,,
roquinimex,Phase 3,angiogenesis inhibitor|tumor necrosis factor production inhibitor,,,,TRUE,,
cobimetinib,Launched,MEK inhibitor,MAP2K1,oncology,melanoma,TRUE,,
azacitidine,Launched,DNA methyltransferase inhibitor,DNMT1|DNMT3A,hematologic malignancy|hematology,myelodysplastic diseases (MDS)|anemia|chronic myelomonocytic leukemia (CMMoL),TRUE,,
foretinib,Phase 2,VEGFR inhibitor,FLT1|FLT4|KDR|MET,,,TRUE,,
ixabepilone,Launched,microtubule stabilizing agent,TUBB,oncology,breast cancer,TRUE,,
XL647,Phase 3,EGFR inhibitor|VEGFR inhibitor,EGFR|EPHB4|ERBB2|FLT4|KDR,,,TRUE,,
oxcarbazepine,Launched,sodium channel blocker,SCN10A|SCN11A|SCN1A|SCN2A|SCN3A|SCN4A|SCN5A|SCN7A|SCN8A|SCN9A,neurology/psychiatry,seizures,TRUE,,
favipiravir,Phase 3,RNA polymerase inhibitor,,,,TRUE,,
drospirenone,Launched,mineralocorticoid receptor antagonist,AR|NR3C2|PGR,endocrinology,contraceptive,TRUE,,
epirubicin,Launched,topoisomerase inhibitor,CHD1|TOP2A,oncology,breast cancer,TRUE,,
YO-01027,Preclinical,gamma secretase inhibitor,,,,TRUE,,
BIBR-1532,Preclinical,telomerase inhibitor,TERT,,,TRUE,,
VE-822,Phase 2,ATR kinase inhibitor,ATM|ATR|MTOR|PIK3CG,,,TRUE,,
